"Feature","Gain","Cover","Frequency"
"LeakEnd",0.38076233790919,0.131533778851372,0.0178702426714399
"L3_S32_F3850",0.0321429686310077,0.0604896281770909,0.0100355057366707
"L3_S33_F3865",0.0234519924511133,0.00227569861783932,0.0145250740925497
"L3_S33_F3859",0.0232211861706595,0.0021012666917252,0.0154934123653863
"L1_S24_F1723",0.0168480103885563,0.0130738974001303,0.00366794800316911
"LeakStart",0.0141683455374123,0.00958441629945091,0.0183103964318202
"L1_S24_F1846",0.0104054738757248,0.00418632619251053,0.00281698406643387
"L3_S30_F3704",0.00791703939243453,0.0598726126166848,0.00883241879163121
"L3_S29_F3351",0.00791540593775349,0.00784585104989063,0.00915519821591009
"L3_S33_F3857",0.00763872021623595,0.00412358117299977,0.0147891663487778
"L3_S29_F3407",0.00715607060758288,0.00497835812781348,0.00554593738079169
"L3_S30_F3754",0.00670116207447985,0.000881141527110616,0.0123243052906482
"L3_S36_F3920",0.00610967755513151,0.00187113497198994,0.0125003667948003
"L3_S30_F3759",0.00549437829739271,0.000365556797049922,0.0101822236567974
"L0_S1_F28",0.00548312447317561,0.00418932745792314,0.0113559670178116
"L3_S30_F3749",0.00516873274443615,0.000312460766103263,0.0109158132574313
"L3_S30_F3744",0.00508942349187059,0.000668509928649452,0.00985944423251856
"L0_S0_F20",0.00485279232080333,0.000727583177477337,0.0092725725520115
"L3_S29_F3339",0.00481894824731496,0.00259600395895151,0.0061621526453241
"L1_S24_F1604",0.00461126745050102,0.00250008208224599,0.000792276768684527
"L3_S30_F3769",0.00460528365139828,0.000973504201603747,0.00724786525426216
"L3_S30_F3804",0.00437085653738937,0.00066210641990303,0.00865635728747909
"L3_S30_F3774",0.00437053512450294,0.000615129216854119,0.00801079843892133
"L3_S29_F3373",0.00417302963409337,0.000878878488488459,0.00751195751049033
"L3_S30_F3494",0.00403485709866988,0.00626340341626564,0.00842160861527627
"L3_S30_F3829",0.00401983421619199,0.00191999859112422,0.00713049091816074
"L3_S29_F3479",0.0038494430132175,0.00024223787749852,0.00674902432583116
"L3_S30_F3574",0.00382318522639718,0.000601001069972237,0.00686639866193257
"L3_S30_F3554",0.00381504045239216,0.000176284117504081,0.0076586754306171
"L3_S30_F3809",0.00373332800899113,0.000268294078600591,0.00745327034243963
"L3_S29_F3354",0.00372074487519344,0.000231435316202577,0.00710114733413539
"L3_S38_F3956",0.00366859021181188,0.00555885853807418,0.00390269667537193
"L3_S29_F3345",0.00358777001917332,0.00034963407085115,0.00627952698142551
"L3_S30_F3604",0.00353301203870833,0.000625315195005411,0.00736523959036357
"L3_S29_F3321",0.00346411087342118,0.000255076596690431,0.00663164998972975
"L3_S29_F3379",0.00343457407631176,0.000641716442347226,0.00630887056545086
"L0_S0_F16",0.00342929536237316,0.000818184524417125,0.0066609935737551
"L3_S35_F3889",0.00337973493844263,0.000304689709312416,0.0077173625986678
"L0_S5_F114",0.00335821884015669,0.00222610284576151,0.00572199888494381
"L3_S30_F3609",0.0033347375441829,0.00153879685059399,0.00586871680507057
"L3_S29_F3342",0.00330000594180631,0.000552100433907196,0.00551659379676634
"L3_S30_F3794",0.00328284672406985,0.000909212388179901,0.00581002963701987
"L0_S1_F24",0.00328070788632585,0.0010458210110648,0.00548725021274098
"L3_S29_F3324",0.00326349057345784,0.00012354205376607,0.00636755773350157
"L3_S29_F3427",0.00325527405120574,0.00102457421126424,0.00648493206960298
"L0_S0_F18",0.00324301065883456,0.000225907242712805,0.00589806038909592
"L3_S29_F3327",0.00319650382834531,0.00188524815207842,0.00651427565362833
"L3_S29_F3348",0.00307315038846082,0.000264441048129344,0.00642624490155228
"L3_S29_F3376",0.00289706797239784,0.000327647253014827,0.00487103494820857
"L0_S6_F122",0.00278527579908999,0.0002762232637583,0.00539921946066493
"L3_S30_F3534",0.00277336021040761,0.000651981420506354,0.0056046245488424
"L0_S5_F116",0.00276331364128498,0.000568558063240099,0.0051057836204114
"L3_S29_F3315",0.00275199110097084,0.000187540590841182,0.00495906570028463
"L1_S24_F1498",0.00275072601142615,0.00263224581971483,0.0015552099533437
"L3_S29_F3382",0.00273474762117646,0.0002191229615073,0.00490037853223393
"L0_S4_F104",0.00273066272340717,0.00165112471811326,0.00595674755714663
"L3_S30_F3629",0.00272379674989933,0.000323356040537667,0.00484169136418322
"L3_S30_F3639",0.00267354453859661,0.000552307213493913,0.00492972211625928
"L3_S29_F3336",0.00265011501637044,0.000552190714790617,0.00513512720443675
"L0_S0_F0",0.00263108145945934,0.000257071149548351,0.00481234778015787
"L3_S30_F3519",0.00262445393658914,7.09755449045497e-05,0.00484169136418322
"L3_S30_F3709",0.00260065142061097,0.00104388857719764,0.0051644707884621
