"Feature","Gain","Cover","Frequency"
"LeakEnd",0.39981405933895,0.139973999638283,0.0167435967055842
"L3_S32_F3850",0.0316998678347605,0.0712794087119941,0.0111020605182973
"L3_S33_F3855",0.0272227041169651,0.000190253887890758,0.00286602105771261
"L1_S24_F1723",0.0178112073316916,0.0208089201166953,0.00877907502941443
"LeakStart",0.0145789249849446,0.0101739119277938,0.0191872567653181
"L1_S24_F1632",0.0115372905271736,0.00816176713384825,0.00325821341297855
"L3_S33_F3857",0.00985963652998378,0.00178118762549981,0.00883941231483996
"L3_S29_F3407",0.00966576355950877,0.00892264449770603,0.00621474039882946
"L3_S33_F3859",0.00912472637598277,0.00159682643870688,0.0181615229130841
"L3_S33_F3865",0.007806989807283,0.00172835859647931,0.0139982502187227
"L3_S30_F3704",0.00758394225035659,0.00291943672067542,0.0106495308776058
"L3_S29_F3430",0.00696292371680465,0.000451356208748602,0.0134250460071801
"L3_S36_F3920",0.00684345697336326,0.00382211488960164,0.0139379129332971
"L3_S30_F3809",0.00630997909216502,0.00118555698331268,0.0118562765861164
"L3_S29_F3348",0.00599130275418674,0.00178817619078713,0.0117054333725526
"L3_S29_F3436",0.0057894844004181,0.00135407073093984,0.0112227350891483
"L3_S29_F3327",0.00574046469363643,0.000579189151038353,0.0113434096599994
"L3_S29_F3315",0.00569219402171862,0.0321028155630853,0.0087187377439889
"L3_S29_F3333",0.00567390545454541,0.0006625815813751,0.0104383503786165
"L0_S1_F28",0.00565674186223981,0.00129037441217459,0.00950312245452077
"L3_S30_F3554",0.00557195100939925,0.000905640522726332,0.0109512173047335
"L3_S29_F3345",0.00550665374582442,0.00154041319585048,0.0108607113765952
"L3_S30_F3609",0.00548097011393896,0.000387916851344747,0.0106796995203186
"L3_S30_F3669",0.00546815134730057,0.00052558324782386,0.0102573385223399
"L3_S30_F3819",0.00531807160357078,0.000553534052571395,0.00908076145654207
"L3_S38_F3956",0.00502332171572707,0.00741953354709079,0.00573204211542523
"L3_S29_F3379",0.00499146008040053,0.000790623905975699,0.00917126738468036
"L3_S35_F3896",0.00492346344010713,0.000823249460256585,0.0116752647298398
"L3_S29_F3330",0.00490729468804662,0.000578648804946818,0.00953329109723353
"L3_S30_F3804",0.00488946487636205,0.000308133785969806,0.0108607113765952
"L1_S24_F1846",0.00483677058258284,0.00518078545461341,0.00591305397170181
"L3_S30_F3679",0.00477582395048027,0.00026867109209185,0.00923160467010589
"L0_S0_F16",0.00467282964284919,0.000536201423608154,0.00805502760430808
"L3_S30_F3784",0.00465857973416271,0.000367352015566879,0.00799469031888255
"L3_S30_F3689",0.00465328015590463,0.000220680831713387,0.0095634597399463
"L3_S29_F3339",0.00462416145767001,0.0015263939318235,0.00742148610734003
"L3_S29_F3373",0.00461321896348878,0.000614006348120649,0.00841705131686125
"L3_S29_F3376",0.00460978867337634,0.000336023638880993,0.00983497752436118
"L3_S29_F3324",0.00460972648796347,0.000979556999590396,0.00699912510936133
"L3_S29_F3351",0.00458945508217132,0.000958879146375538,0.00877907502941443
"L2_S26_F3106",0.00417382666245181,0.000941428875568079,0.00630524632696775
"L3_S29_F3318",0.00407751243402775,0.00144835030116229,0.00627507768425499
"L3_S29_F3321",0.00404864138582204,0.000636129871336161,0.00705946239478686
"L3_S30_F3754",0.0040449278491093,0.000636529191667037,0.00772317253446767
"L0_S0_F18",0.00392627901121814,0.000314898434589439,0.00696895646664857
