Feature,Levels,IG_Date,CMI,NotMissing,Date_Rank,CMI_Rank
S0_Min,39477,0.00793546155820479,0.0157399689189521,0.569261843958211,9,8
S1_Min,39655,0.00793424825370703,0.0157408529729643,0.569297324512755,10,7
S2_Min,39499,0.00490953547432405,0.00787644055584558,0.287032617611703,11,15
S3_Min,39434,0.00486914143515804,0.00789095578359067,0.282752986913589,14,13
S4_Min,39316,0.00485407044203612,0.00781067828209991,0.283248869902099,16,16
S5_Min,39273,0.00489285515181059,0.00794076780024788,0.286811286533356,12,11
S6_Min,39518,0.00487777192986272,0.0079038137077152,0.286368624376662,13,12
S7_Min,39439,0.00485930794130063,0.00788636027633061,0.283589314270701,15,14
S8_Min,39713,0.00799752553196509,0.0157518772172551,0.569277894685266,8,6
S9_Min,39082,0.00358710238815796,0.00522213412439765,0.190648001642243,21,23
S10_Min,39048,0.00365352408198483,0.00525589245795644,0.189685802794009,19,22
S11_Min,39109,0.00360462092632119,0.00530290115205645,0.190456237692683,20,21
S12_Min,14256,0.00293300452294254,0.00559312039026239,0.204487107464686,23,17
S13_Min,14253,0.00293680236700844,0.00557243670152552,0.204490486565119,22,19
S14_Min,14119,0.00181235541190183,0.00292340795956036,0.10190099742597,34,31
S15_Min,14107,0.00174899018632857,0.00266100236273115,0.10259371301469,38,37
S16_Min,14166,0.00179166167212408,0.00272540163362134,0.100645661615193,35,36
S17_Min,14064,0.00178480332170317,0.00286446798680817,0.103930147235854,36,33
S18_Min,14179,0.00176438089918918,0.00277316826291774,0.102286214875307,37,35
S19_Min,14199,0.00182192013106075,0.00281641591129933,0.102240597019464,33,34
S20_Min,14282,0.00292918758311345,0.00557272375448292,0.204529346220096,24,18
S21_Min,14090,0.00136648692363117,0.00192214033162852,0.0687722967830119,43,38
S22_Min,13985,0.00127354412195402,0.00179640106107026,0.0680897184955907,45,43
S23_Min,13968,0.00130821694462746,0.00185347617698195,0.0678269934369422,44,41
S24.101_Min,1814,0.000326213097384454,0.00040713530288361,0.0201580236317389,76,75
S24.102_Min,1639,0.000306073544461327,0.000403825418361592,0.0199679492323951,83,77
S24.103_Min,1810,0.000322034051389863,0.00040790426811288,0.0201276117278439,80,73
S24.104_Min,1800,0.000320242777865687,0.000400906780774868,0.0201402833544668,82,79
S24.105_Min,1780,0.000322061576293109,0.000402840175060426,0.0201402833544668,79,78
S24.106_Min,1758,0.000324905986493818,0.000407221075114705,0.0201360594789258,78,74
S24.107_Min,1746,0.000325852897878676,0.000404173547025266,0.0201385938042504,77,76
S24.108_Min,1551,0.000215296827208888,0.000239586108127021,0.0101592654511479,89,88
S24.109_Min,1569,0.000171293546319617,0.000170915570524954,0.00999706863037456,97,98
S24.11_Min,1535,0.000191693066861731,0.000199365049232014,0.0100350835102433,95,91
S24.111_Min,1546,0.000189333527121249,0.000201387653217644,0.0100959073180333,96,90
S24.112_Min,1563,0.000302029282913452,0.000385345079068067,0.0201284565029521,84,82
S24.2_Min,1765,0.000391290276009926,0.000538258684806614,0.0229795724931088,71,65
S24.201_Min,1755,0.000395506219813768,0.000537368210506095,0.0229584531154039,70,66
S24.202_Min,2,4.92348739555837E-9,1.12973097543545E-8,8.44775108194572E-7,127,126
S24.203_Min,1739,0.000404605841168859,0.000536336985508257,0.0229787277180006,65,67
S24.204_Min,1727,0.00040210283727049,0.000533932475159205,0.0229753486175678,67,68
S24.205_Min,1721,0.000400085223743574,0.000529479700135838,0.0229753486175678,68,70
S24.206_Min,1713,0.000402811871316189,0.000529985057602822,0.0229753486175678,66,69
S24.207_Min,1593,0.000219405255437621,0.000216755571751825,0.0115235772508822,88,89
S24.208_Min,1615,0.000267447794414011,0.000332051586791948,0.011457684792443,85,85
S24.209_Min,1575,0.000252385158505675,0.000274468244255921,0.0114551504671184,86,86
S24.21_Min,1562,0.000232337082941569,0.000253842501331647,0.0114855623710134,87,87
S24.211_Min,1587,0.000389085262566979,0.000513966052078096,0.022937333737699,72,71
S24.3_Min,8887,0.00242221685657462,0.00356244275384121,0.112276525304816,28,25
S24.301_Min,8836,0.00244393226698314,0.00358279284320329,0.111993525643571,25,24
S24.302_Min,12,1.57553605717453E-7,1.98978166388031E-7,2.70328034622263E-5,125,125
S24.303_Min,8747,0.00243925346101115,0.00355289829160732,0.112277370079924,26,26
S24.304_Min,8713,0.00242232629807582,0.00354602875303733,0.112278214855032,27,27
S24.305_Min,8677,0.00239238120853358,0.00353370120417917,0.112275680529708,30,29
S24.306_Min,8622,0.00239463645036864,0.00354316892366136,0.112275680529708,29,28
S24.307_Min,7799,0.00145529970476765,0.00182137589949782,0.0562476610289192,41,42
S24.308_Min,7856,0.00148097938660463,0.00185377751110316,0.056177544694939,39,40
S24.309_Min,7755,0.00147196080949819,0.001755703417329,0.0561640282932079,40,45
S24.31_Min,7752,0.0014268022973738,0.00176230240353181,0.0561488223412604,42,44
S24.311_Min,7928,0.00230933507134701,0.00346398154037964,0.112289196931439,31,30
S25.1_Min,3896,0.000625848045727295,0.000764380042250323,0.0468562961511201,54,59
S25.101_Min,3840,0.000617857649258369,0.000767056409173961,0.0467067709569697,58,58
S25.102_Min,3843,0.00061747086817654,0.000771983522786179,0.0467118396076189,59,54
S25.103_Min,3837,0.000619729246910339,0.000770063404599952,0.0468157469459268,56,56
S25.104_Min,3852,0.000624729575591232,0.000767107352795726,0.046808143969953,55,57
S25.105_Min,3845,0.000619014244051641,0.000771566895116926,0.046260729699843,57,55
S25.106_Min,3544,0.000377897756379753,0.000395768824963838,0.0236359627521759,74,81
S25.107_Min,3550,0.000388680960044852,0.000374503715300456,0.0232549691783802,73,83
S25.108_Min,3454,0.000352405868211392,0.000347117692398591,0.0231257185868264,75,84
S25.109_Min,3467,0.000399573096458994,0.00043405836204613,0.0234585599794551,69,72
S25.11_Min,3584,0.000604677604531645,0.000762268634129981,0.0464558727498359,60,60
S25.2_Min,129,1.1018500604365E-5,2.01017106249424E-6,0.00105005545948585,124,124
S25.201_Min,392,3.24084959562043E-5,2.26741517863616E-5,0.00305470679123157,118,114
S25.202_Min,580,0.000104334502001535,9.69602758544852E-5,0.00604690022445675,107,102
S25.203_Min,577,0.000109700732624063,9.6939431855958E-5,0.006039297248483,102,103
S25.204_Min,578,0.000108527110198153,9.57189555093052E-5,0.00603676292315841,104,106
S25.205_Min,583,0.000103578747516764,9.37510159024768E-5,0.00603760769826661,108,107
S25.206_Min,525,5.7899692526675E-5,4.51254399891354E-5,0.00302345011222837,112,112
S25.207_Min,513,6.75777023246837E-5,4.79189284847692E-5,0.00303950083928407,110,110
S25.208_Min,492,6.86178486404288E-5,5.08055716013089E-5,0.002926300974786,109,109
S25.209_Min,508,5.98014376738121E-5,4.73530876865524E-5,0.00305386201612338,111,111
