Feature,Line,Station,Orig_St,Feat_Nb,Levels,IG_Numeric,IG_Date,CMI,NotMissing,Num_Rank,Date_Rank,CMI_Rank
L0_S0_F0,0,0,0,0,117,7.92619620906265E-5,0.00793546155820479,0.00684503075032872,0.569261843958211,486,159,81
L0_S0_F2,0,0,0,2,110,6.46875427356974E-5,0.00793546155820479,0.00638197659447926,0.569261843958211,528,159,87
L0_S0_F4,0,0,0,4,36,7.51695960659049E-5,0.00793546155820479,0.00343363278495978,0.569261843958211,497,159,113
L0_S0_F6,0,0,0,6,37,7.63375660834953E-5,0.00793546155820479,0.00340602356091946,0.569261843958211,492,159,114
L0_S0_F8,0,0,0,8,22,4.5157603967283E-5,0.00793546155820479,0.00224154726497794,0.569261843958211,586,159,161
L0_S0_F10,0,0,0,10,23,4.11734299170519E-5,0.00793546155820479,0.00212209091102089,0.569261843958211,599,159,168
L0_S0_F12,0,0,0,12,29,5.97872157470647E-5,0.00793546155820479,0.00292992954833515,0.569261843958211,539,159,124
L0_S0_F14,0,0,0,14,25,6.36208207858147E-5,0.00793546155820479,0.00233127182481141,0.569261843958211,531,159,157
L0_S0_F16,0,0,0,16,181,8.64051068028005E-5,0.00793546155820479,0.00838104420690655,0.569261843958211,459,159,58
L0_S0_F18,0,0,0,18,175,9.3178781522596E-5,0.00793546155820479,0.00821639079501502,0.569261843958211,438,159,61
L0_S0_F20,0,0,0,20,997,0.00043881077598229,0.00793546155820479,0.0051000838379478,0.569261843958211,77,159,94
L0_S0_F22,0,0,0,22,996,0.000440203493672797,0.00793546155820479,0.00510969379538118,0.569261843958211,76,159,93
L0_S1_F24,0,1,1,24,274,0.000150934668557312,0.00793424825370703,0.00750560536177503,0.569295634962538,295,171,67
L0_S1_F28,0,1,1,28,789,0.000329642974930877,0.00793424825370703,0.00900759708930821,0.569297324512755,125,171,53
L0_S2_F32,0,2,2,32,7,1.56155360109267E-5,0.00490953547432405,0.000541326696252398,0.287032617611703,752,173,361
L0_S2_F36,0,2,2,36,903,0.000416586990784396,0.00490953547432405,0.00364639692428348,0.287032617611703,87,173,108
L0_S2_F40,0,2,2,40,12,2.10368008435324E-5,0.00490953547432405,0.000773378510597667,0.287032617611703,710,173,297
L0_S2_F44,0,2,2,44,903,0.000447963978736254,0.00490953547432405,0.00365818329970402,0.287032617611703,72,173,107
L0_S2_F48,0,2,2,48,62,4.07320121880161E-5,0.00490953547432405,0.00245057211941102,0.287032617611703,602,173,156
L0_S2_F52,0,2,2,52,3,7.74207893705636E-6,0.00490953547432405,1.77635683940025E-15,0.287032617611703,840,173,944
L0_S2_F56,0,2,2,56,8,1.44154762171667E-5,0.00490953547432405,0.000678623560364855,0.287032617611703,766,173,346
L0_S2_F60,0,2,2,60,903,0.000453372601564084,0.00490953547432405,0.00368694608067166,0.287032617611703,67,173,99
L0_S2_F64,0,2,2,64,315,0.000165351869831909,0.00490953547432405,0.00306852157097381,0.287032617611703,271,173,120
L0_S3_F68,0,3,3,68,8,8.14964035100729E-6,0.00486914143515804,0.000459838636020393,0.282752986913589,833,187,387
L0_S3_F72,0,3,3,72,903,0.000464591246437607,0.00486914143515804,0.00366579971749381,0.282752986913589,66,187,106
L0_S3_F76,0,3,3,76,10,1.23700690295436E-5,0.00486914143515804,0.000420120196748641,0.282752986913589,783,187,394
L0_S3_F80,0,3,3,80,903,0.000479958763918376,0.00486914143515804,0.00367630409878927,0.282752986913589,62,187,103
L0_S3_F84,0,3,3,84,65,3.29135588756913E-5,0.00486914143515804,0.00248312740679957,0.282752986913589,641,187,154
L0_S3_F88,0,3,3,88,3,7.34353922204889E-6,0.00486914143515804,1.41455034352589E-7,0.282752986913589,846,187,938
L0_S3_F92,0,3,3,92,6,7.86226780036259E-6,0.00486914143515804,0.000556342474586913,0.282752986913589,838,187,358
L0_S3_F96,0,3,3,96,902,0.000486929615135523,0.00486914143515804,0.00366872380673478,0.282752986913589,60,187,105
