[1]	train-auc:0.501714	test-auc:0.501550 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.501743	test-auc:0.501595 
[3]	train-auc:0.501743	test-auc:0.501595 
[4]	train-auc:0.501743	test-auc:0.501594 
[5]	train-auc:0.501685	test-auc:0.501505 
[6]	train-auc:0.501685	test-auc:0.501505 
[7]	train-auc:0.501685	test-auc:0.501505 
[8]	train-auc:0.501685	test-auc:0.501505 
[9]	train-auc:0.501685	test-auc:0.501505 
[10]	train-auc:0.501685	test-auc:0.501505 
[11]	train-auc:0.501685	test-auc:0.501505 
[12]	train-auc:0.501685	test-auc:0.501505 
[13]	train-auc:0.501685	test-auc:0.501505 
[14]	train-auc:0.501685	test-auc:0.501505 
[15]	train-auc:0.501685	test-auc:0.501505 
[16]	train-auc:0.501685	test-auc:0.501505 
[17]	train-auc:0.501685	test-auc:0.501506 
[18]	train-auc:0.501685	test-auc:0.501505 
[19]	train-auc:0.501685	test-auc:0.501506 
[20]	train-auc:0.501685	test-auc:0.501506 
[21]	train-auc:0.501685	test-auc:0.501506 
[22]	train-auc:0.501685	test-auc:0.501506 
[23]	train-auc:0.501685	test-auc:0.501506 
[24]	train-auc:0.501685	test-auc:0.501506 
[25]	train-auc:0.501685	test-auc:0.501506 
[26]	train-auc:0.501685	test-auc:0.501506 
[27]	train-auc:0.501685	test-auc:0.501506 
[28]	train-auc:0.501685	test-auc:0.501506 
[29]	train-auc:0.501685	test-auc:0.501505 
[30]	train-auc:0.501685	test-auc:0.501506 
[31]	train-auc:0.501797	test-auc:0.501578 
[32]	train-auc:0.501803	test-auc:0.501578 
[33]	train-auc:0.501808	test-auc:0.501586 
[34]	train-auc:0.501996	test-auc:0.501586 
[35]	train-auc:0.502002	test-auc:0.501586 
[36]	train-auc:0.502006	test-auc:0.501590 
[37]	train-auc:0.502006	test-auc:0.501590 
[38]	train-auc:0.502006	test-auc:0.501590 
[39]	train-auc:0.502011	test-auc:0.501599 
[40]	train-auc:0.502011	test-auc:0.501599 
[41]	train-auc:0.502018	test-auc:0.501616 
[42]	train-auc:0.502018	test-auc:0.501616 
[43]	train-auc:0.502018	test-auc:0.501616 
[44]	train-auc:0.502119	test-auc:0.501731 
[45]	train-auc:0.502111	test-auc:0.501714 
[46]	train-auc:0.502119	test-auc:0.501731 
[47]	train-auc:0.502152	test-auc:0.501777 
[48]	train-auc:0.502152	test-auc:0.501777 
[49]	train-auc:0.502159	test-auc:0.501782 
[50]	train-auc:0.502163	test-auc:0.501786 
[51]	train-auc:0.502173	test-auc:0.501811 
[52]	train-auc:0.502173	test-auc:0.501811 
[53]	train-auc:0.502173	test-auc:0.501811 
[54]	train-auc:0.502169	test-auc:0.501807 
[55]	train-auc:0.502173	test-auc:0.501811 
[56]	train-auc:0.502173	test-auc:0.501811 
[57]	train-auc:0.502173	test-auc:0.501811 
[58]	train-auc:0.502173	test-auc:0.501811 
[59]	train-auc:0.502173	test-auc:0.501811 
[60]	train-auc:0.502173	test-auc:0.501811 
[61]	train-auc:0.502173	test-auc:0.501811 
[62]	train-auc:0.502177	test-auc:0.501816 
[63]	train-auc:0.502177	test-auc:0.501816 
[64]	train-auc:0.502177	test-auc:0.501816 
[65]	train-auc:0.502177	test-auc:0.501816 
[66]	train-auc:0.502181	test-auc:0.501816 
[67]	train-auc:0.502177	test-auc:0.501816 
[68]	train-auc:0.502177	test-auc:0.501816 
[69]	train-auc:0.502181	test-auc:0.501816 
[70]	train-auc:0.502177	test-auc:0.501816 
[71]	train-auc:0.502181	test-auc:0.501816 
[72]	train-auc:0.502181	test-auc:0.501816 
[73]	train-auc:0.502177	test-auc:0.501816 
[74]	train-auc:0.502181	test-auc:0.501816 
[75]	train-auc:0.502178	test-auc:0.501816 
[76]	train-auc:0.502178	test-auc:0.501816 
[77]	train-auc:0.502178	test-auc:0.501816 
[78]	train-auc:0.502178	test-auc:0.501816 
[79]	train-auc:0.502178	test-auc:0.501816 
[80]	train-auc:0.502174	test-auc:0.501816 
[81]	train-auc:0.502178	test-auc:0.501816 
[82]	train-auc:0.502178	test-auc:0.501816 
[83]	train-auc:0.502174	test-auc:0.501816 
[84]	train-auc:0.502232	test-auc:0.501892 
[85]	train-auc:0.502232	test-auc:0.501892 
[86]	train-auc:0.502237	test-auc:0.501900 
[87]	train-auc:0.502232	test-auc:0.501892 
[88]	train-auc:0.502232	test-auc:0.501892 
[89]	train-auc:0.502228	test-auc:0.501892 
[90]	train-auc:0.502234	test-auc:0.501905 
[91]	train-auc:0.502234	test-auc:0.501905 
[92]	train-auc:0.502239	test-auc:0.501913 
[93]	train-auc:0.502234	test-auc:0.501905 
[94]	train-auc:0.502234	test-auc:0.501905 
[95]	train-auc:0.502234	test-auc:0.501905 
[96]	train-auc:0.502239	test-auc:0.501913 
[97]	train-auc:0.502237	test-auc:0.501905 
[98]	train-auc:0.502237	test-auc:0.501905 
[99]	train-auc:0.502241	test-auc:0.501913 
[100]	train-auc:0.502237	test-auc:0.501905 
[101]	train-auc:0.502241	test-auc:0.501913 
[102]	train-auc:0.502241	test-auc:0.501913 
[103]	train-auc:0.502237	test-auc:0.501905 
[104]	train-auc:0.502241	test-auc:0.501913 
[105]	train-auc:0.502241	test-auc:0.501913 
[106]	train-auc:0.502237	test-auc:0.501905 
[107]	train-auc:0.502241	test-auc:0.501913 
[108]	train-auc:0.502237	test-auc:0.501905 
[109]	train-auc:0.502237	test-auc:0.501905 
[110]	train-auc:0.502239	test-auc:0.501913 
[111]	train-auc:0.502241	test-auc:0.501913 
[112]	train-auc:0.502234	test-auc:0.501905 
[113]	train-auc:0.502241	test-auc:0.501913 
[114]	train-auc:0.502239	test-auc:0.501913 
[115]	train-auc:0.502241	test-auc:0.501913 
[116]	train-auc:0.502239	test-auc:0.501913 
[117]	train-auc:0.502239	test-auc:0.501913 
[118]	train-auc:0.502241	test-auc:0.501913 
[119]	train-auc:0.502234	test-auc:0.501905 
[120]	train-auc:0.502241	test-auc:0.501913 
[121]	train-auc:0.502239	test-auc:0.501913 
[122]	train-auc:0.502239	test-auc:0.501913 
[123]	train-auc:0.502237	test-auc:0.501905 
[124]	train-auc:0.502241	test-auc:0.501913 
[125]	train-auc:0.502241	test-auc:0.501913 
[126]	train-auc:0.502237	test-auc:0.501905 
[127]	train-auc:0.502237	test-auc:0.501905 
[128]	train-auc:0.502241	test-auc:0.501913 
[129]	train-auc:0.502241	test-auc:0.501913 
[130]	train-auc:0.502241	test-auc:0.501913 
[131]	train-auc:0.502241	test-auc:0.501913 
[132]	train-auc:0.502241	test-auc:0.501913 
[133]	train-auc:0.502241	test-auc:0.501913 
[134]	train-auc:0.502241	test-auc:0.501913 
[135]	train-auc:0.502241	test-auc:0.501913 
[136]	train-auc:0.502241	test-auc:0.501913 
[137]	train-auc:0.502241	test-auc:0.501913 
[138]	train-auc:0.502241	test-auc:0.501913 
[139]	train-auc:0.502241	test-auc:0.501913 
[140]	train-auc:0.502239	test-auc:0.501913 
[141]	train-auc:0.502241	test-auc:0.501913 
[142]	train-auc:0.502239	test-auc:0.501913 
[143]	train-auc:0.502239	test-auc:0.501913 
[144]	train-auc:0.502239	test-auc:0.501913 
[145]	train-auc:0.502239	test-auc:0.501913 
[146]	train-auc:0.502235	test-auc:0.501905 
[147]	train-auc:0.502239	test-auc:0.501913 
[148]	train-auc:0.502239	test-auc:0.501913 
[149]	train-auc:0.502239	test-auc:0.501913 
[150]	train-auc:0.502239	test-auc:0.501913 
[151]	train-auc:0.502239	test-auc:0.501913 
[152]	train-auc:0.502235	test-auc:0.501905 
[153]	train-auc:0.502239	test-auc:0.501913 
[154]	train-auc:0.502239	test-auc:0.501913 
[155]	train-auc:0.502239	test-auc:0.501913 
[156]	train-auc:0.502239	test-auc:0.501913 
[157]	train-auc:0.502241	test-auc:0.501913 
[158]	train-auc:0.502239	test-auc:0.501913 
[159]	train-auc:0.502239	test-auc:0.501913 
[160]	train-auc:0.502239	test-auc:0.501913 
[161]	train-auc:0.502239	test-auc:0.501913 
[162]	train-auc:0.502241	test-auc:0.501913 
[163]	train-auc:0.502241	test-auc:0.501913 
[164]	train-auc:0.502241	test-auc:0.501913 
[165]	train-auc:0.502239	test-auc:0.501913 
[166]	train-auc:0.502239	test-auc:0.501913 
[167]	train-auc:0.502241	test-auc:0.501913 
[168]	train-auc:0.502239	test-auc:0.501913 
[169]	train-auc:0.502239	test-auc:0.501913 
[170]	train-auc:0.502239	test-auc:0.501913 
[171]	train-auc:0.502242	test-auc:0.501917 
[172]	train-auc:0.502242	test-auc:0.501917 
[173]	train-auc:0.502239	test-auc:0.501913 
[174]	train-auc:0.502242	test-auc:0.501917 
[175]	train-auc:0.502242	test-auc:0.501917 
[176]	train-auc:0.502242	test-auc:0.501917 
[177]	train-auc:0.502242	test-auc:0.501917 
[178]	train-auc:0.502242	test-auc:0.501917 
[179]	train-auc:0.502242	test-auc:0.501917 
[180]	train-auc:0.502239	test-auc:0.501913 
