[1]	train-auc:0.508578	test-auc:0.509391 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.508643	test-auc:0.508889 
[3]	train-auc:0.508644	test-auc:0.508888 
[4]	train-auc:0.508645	test-auc:0.508888 
[5]	train-auc:0.508645	test-auc:0.508889 
[6]	train-auc:0.508647	test-auc:0.508876 
[7]	train-auc:0.508648	test-auc:0.508876 
[8]	train-auc:0.508830	test-auc:0.509027 
[9]	train-auc:0.508831	test-auc:0.509023 
[10]	train-auc:0.508830	test-auc:0.509028 
[11]	train-auc:0.508914	test-auc:0.509178 
[12]	train-auc:0.508915	test-auc:0.509178 
[13]	train-auc:0.508884	test-auc:0.509717 
[14]	train-auc:0.508984	test-auc:0.510184 
[15]	train-auc:0.508873	test-auc:0.510251 
[16]	train-auc:0.508873	test-auc:0.510253 
[17]	train-auc:0.508984	test-auc:0.510186 
[18]	train-auc:0.508985	test-auc:0.510187 
[19]	train-auc:0.508985	test-auc:0.510183 
[20]	train-auc:0.508985	test-auc:0.510182 
[21]	train-auc:0.508985	test-auc:0.510181 
[22]	train-auc:0.509132	test-auc:0.510115 
[23]	train-auc:0.509143	test-auc:0.510219 
[24]	train-auc:0.509027	test-auc:0.510651 
[25]	train-auc:0.509141	test-auc:0.510213 
[26]	train-auc:0.509141	test-auc:0.510214 
[27]	train-auc:0.509141	test-auc:0.510213 
[28]	train-auc:0.509171	test-auc:0.510247 
[29]	train-auc:0.509278	test-auc:0.509710 
[30]	train-auc:0.509343	test-auc:0.509491 
[31]	train-auc:0.509343	test-auc:0.509491 
[32]	train-auc:0.509343	test-auc:0.509491 
[33]	train-auc:0.509344	test-auc:0.509491 
[34]	train-auc:0.509344	test-auc:0.509486 
[35]	train-auc:0.509369	test-auc:0.509546 
[36]	train-auc:0.509342	test-auc:0.509488 
[37]	train-auc:0.509342	test-auc:0.509489 
[38]	train-auc:0.509307	test-auc:0.509457 
[39]	train-auc:0.509366	test-auc:0.508982 
[40]	train-auc:0.509307	test-auc:0.509457 
[41]	train-auc:0.509366	test-auc:0.508983 
[42]	train-auc:0.509341	test-auc:0.508923 
[43]	train-auc:0.509366	test-auc:0.508981 
[44]	train-auc:0.509341	test-auc:0.508922 
[45]	train-auc:0.509366	test-auc:0.508981 
[46]	train-auc:0.509341	test-auc:0.508922 
[47]	train-auc:0.509335	test-auc:0.508918 
[48]	train-auc:0.509333	test-auc:0.508910 
[49]	train-auc:0.509333	test-auc:0.508909 
[50]	train-auc:0.509358	test-auc:0.508968 
[51]	train-auc:0.509333	test-auc:0.508910 
[52]	train-auc:0.509358	test-auc:0.508969 
[53]	train-auc:0.509333	test-auc:0.508910 
[54]	train-auc:0.509358	test-auc:0.508969 
[55]	train-auc:0.509299	test-auc:0.509444 
[56]	train-auc:0.509324	test-auc:0.509503 
[57]	train-auc:0.509300	test-auc:0.509444 
[58]	train-auc:0.509300	test-auc:0.509439 
[59]	train-auc:0.509334	test-auc:0.508910 
[60]	train-auc:0.509334	test-auc:0.508910 
[61]	train-auc:0.509334	test-auc:0.508907 
[62]	train-auc:0.509334	test-auc:0.508908 
[63]	train-auc:0.509334	test-auc:0.508906 
[64]	train-auc:0.509398	test-auc:0.508750 
[65]	train-auc:0.509398	test-auc:0.508750 
[66]	train-auc:0.509367	test-auc:0.508738 
[67]	train-auc:0.509398	test-auc:0.508750 
[68]	train-auc:0.509367	test-auc:0.508738 
[69]	train-auc:0.509367	test-auc:0.508737 
[70]	train-auc:0.509367	test-auc:0.508732 
[71]	train-auc:0.509367	test-auc:0.508738 
[72]	train-auc:0.509367	test-auc:0.508733 
[73]	train-auc:0.509368	test-auc:0.508734 
[74]	train-auc:0.509367	test-auc:0.508738 
[75]	train-auc:0.509368	test-auc:0.508734 
[76]	train-auc:0.509368	test-auc:0.508734 
[77]	train-auc:0.509368	test-auc:0.508734 
[78]	train-auc:0.509368	test-auc:0.508734 
[79]	train-auc:0.509368	test-auc:0.508734 
[80]	train-auc:0.509368	test-auc:0.508734 
[81]	train-auc:0.509368	test-auc:0.508734 
[82]	train-auc:0.509368	test-auc:0.508734 
[83]	train-auc:0.509368	test-auc:0.508734 
[84]	train-auc:0.509368	test-auc:0.508734 
[85]	train-auc:0.509368	test-auc:0.508734 
[86]	train-auc:0.509368	test-auc:0.508730 
[87]	train-auc:0.509368	test-auc:0.508734 
[88]	train-auc:0.509368	test-auc:0.508734 
[89]	train-auc:0.509368	test-auc:0.508730 
[90]	train-auc:0.509368	test-auc:0.508730 
[91]	train-auc:0.509368	test-auc:0.508730 
[92]	train-auc:0.509368	test-auc:0.508730 
[93]	train-auc:0.509368	test-auc:0.508730 
[94]	train-auc:0.509368	test-auc:0.508728 
[95]	train-auc:0.509365	test-auc:0.508732 
[96]	train-auc:0.509365	test-auc:0.508728 
[97]	train-auc:0.509365	test-auc:0.508728 
[98]	train-auc:0.509365	test-auc:0.508728 
[99]	train-auc:0.509365	test-auc:0.508730 
[100]	train-auc:0.509368	test-auc:0.508730 
[101]	train-auc:0.509365	test-auc:0.508730 
[102]	train-auc:0.509365	test-auc:0.508730 
[103]	train-auc:0.509365	test-auc:0.508730 
[104]	train-auc:0.509512	test-auc:0.508734 
[105]	train-auc:0.509512	test-auc:0.508724 
[106]	train-auc:0.509512	test-auc:0.508724 
[107]	train-auc:0.509512	test-auc:0.508724 
[108]	train-auc:0.509512	test-auc:0.508724 
[109]	train-auc:0.509496	test-auc:0.508682 
[110]	train-auc:0.509512	test-auc:0.508734 
[111]	train-auc:0.509496	test-auc:0.508692 
[112]	train-auc:0.509513	test-auc:0.508734 
[113]	train-auc:0.509496	test-auc:0.508692 
[114]	train-auc:0.509496	test-auc:0.508692 
[115]	train-auc:0.509512	test-auc:0.508734 
[116]	train-auc:0.509496	test-auc:0.508692 
[117]	train-auc:0.509496	test-auc:0.508692 
[118]	train-auc:0.509496	test-auc:0.508692 
[119]	train-auc:0.509496	test-auc:0.508692 
[120]	train-auc:0.509513	test-auc:0.508733 
[121]	train-auc:0.509496	test-auc:0.508693 
[122]	train-auc:0.509513	test-auc:0.508725 
[123]	train-auc:0.509513	test-auc:0.508725 
[124]	train-auc:0.509496	test-auc:0.508682 
Stopping. Best iteration:
[24]	train-auc:0.509027	test-auc:0.510651

[1]	train-auc:0.509272	test-auc:0.507621 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.509272	test-auc:0.507621 
[3]	train-auc:0.509272	test-auc:0.507621 
[4]	train-auc:0.509272	test-auc:0.507621 
[5]	train-auc:0.509290	test-auc:0.507751 
[6]	train-auc:0.509165	test-auc:0.507828 
[7]	train-auc:0.509163	test-auc:0.507835 
[8]	train-auc:0.509287	test-auc:0.507756 
[9]	train-auc:0.509242	test-auc:0.507704 
[10]	train-auc:0.509315	test-auc:0.507698 
[11]	train-auc:0.509317	test-auc:0.507692 
[12]	train-auc:0.509317	test-auc:0.507695 
[13]	train-auc:0.509317	test-auc:0.507698 
[14]	train-auc:0.509318	test-auc:0.507696 
[15]	train-auc:0.509462	test-auc:0.507685 
[16]	train-auc:0.509464	test-auc:0.507684 
[17]	train-auc:0.509463	test-auc:0.507683 
[18]	train-auc:0.509463	test-auc:0.507683 
[19]	train-auc:0.509464	test-auc:0.507681 
[20]	train-auc:0.509321	test-auc:0.507698 
[21]	train-auc:0.509322	test-auc:0.507697 
[22]	train-auc:0.509321	test-auc:0.507702 
[23]	train-auc:0.509321	test-auc:0.507702 
[24]	train-auc:0.509363	test-auc:0.507749 
[25]	train-auc:0.509323	test-auc:0.507698 
[26]	train-auc:0.509365	test-auc:0.507744 
[27]	train-auc:0.509455	test-auc:0.507690 
[28]	train-auc:0.509384	test-auc:0.507745 
[29]	train-auc:0.509427	test-auc:0.507824 
[30]	train-auc:0.509635	test-auc:0.507680 
[31]	train-auc:0.509545	test-auc:0.507733 
[32]	train-auc:0.509635	test-auc:0.507678 
[33]	train-auc:0.509545	test-auc:0.507736 
[34]	train-auc:0.509545	test-auc:0.507736 
[35]	train-auc:0.509542	test-auc:0.507737 
[36]	train-auc:0.509541	test-auc:0.507733 
[37]	train-auc:0.509541	test-auc:0.507731 
[38]	train-auc:0.509541	test-auc:0.507733 
[39]	train-auc:0.509499	test-auc:0.507651 
[40]	train-auc:0.509542	test-auc:0.507733 
[41]	train-auc:0.509542	test-auc:0.507733 
[42]	train-auc:0.509542	test-auc:0.507734 
[43]	train-auc:0.509542	test-auc:0.507734 
[44]	train-auc:0.509541	test-auc:0.507737 
[45]	train-auc:0.509541	test-auc:0.507737 
[46]	train-auc:0.509541	test-auc:0.507737 
[47]	train-auc:0.509541	test-auc:0.507737 
[48]	train-auc:0.509542	test-auc:0.507737 
[49]	train-auc:0.509542	test-auc:0.507738 
[50]	train-auc:0.509542	test-auc:0.507733 
[51]	train-auc:0.509542	test-auc:0.507736 
[52]	train-auc:0.509477	test-auc:0.507628 
