Feature,Gain,Cover,Frequency,Fold,FeatureLine,FeatureStation,FeatureNumber,Type,Categorical,Category
L3_S32_F3854:T2,0.057596152,0.088154832,0.002925891,1,3,32,3854,F,T2,Category 7
L3_S33_D3856,0.042580187,0.104936526,0.010926055,1,3,33,3856,D,,Category 7
L3_S32_F3851:T1,0.028988375,0.008383558,0.001595941,1,3,32,3851,F,T1,Category 7
L1_S24_F1695,0.02875248,0.091834858,0.008061546,1,1,24,1695,F,,Category 7
L3_S33_F3859,0.021815643,0.000470625,0.014363465,1,3,33,3859,F,,Category 7
L3_S33_F3865,0.021521543,0.000750782,0.010741908,1,3,33,3865,F,,Category 7
L1_S24_F1604,0.019874269,0.133318176,0.007529566,1,1,24,1604,F,,Category 7
L3_S34_D3875,0.013764891,0.002836077,0.009064124,1,3,34,3875,D,,Category 8
L3_S32_F3854:T4,0.013166425,0.082531888,0.002271146,1,3,32,3854,F,T4,Category 7
L3_S38_F3952,0.012438323,0.000170973,0.006833899,1,3,38,3952,F,,Category 7
L3_S29_D3474,0.01234466,0.001418783,0.008716291,1,3,29,3474,D,,Category 8
L3_S36_F3920,0.01157765,0.000286617,0.015734337,1,3,36,3920,F,,Category 7
L3_S33_F3857,0.011301241,0.001188631,0.01397471,1,3,33,3857,F,,Category 8
L3_S33_F3855,0.011215943,0.000156201,0.001595941,1,3,33,3855,F,,Category 7
L3_S38_D3953,0.010971198,0.005383581,0.010434996,1,3,38,3953,D,,Category 8
L3_S29_D3316,0.010948056,0.002066642,0.009309653,1,3,29,3316,D,,Category 8
L3_S30_F3754,0.010469079,0.000476645,0.017309817,1,3,30,3754,F,,Category 7
L3_S30_D3506,0.010191779,0.001860852,0.006076851,1,3,30,3506,D,,Category 8
L3_S38_F3956,0.010073188,0.000732585,0.003560175,1,3,38,3956,F,,Category 8
L3_S30_F3744,0.009894709,0.010661933,0.013279044,1,3,30,3744,F,,Category 8
L3_S30_F3774,0.009609297,0.000368716,0.013933789,1,3,30,3774,F,,Category 7
L3_S30_F3759,0.009022143,0.000415073,0.014117936,1,3,30,3759,F,,Category 7
L3_S32_D3852,0.008372068,0.004783262,0.001677784,1,3,32,3852,D,,Category 8
L3_S30_F3749,0.008152158,0.000955709,0.009330114,1,3,30,3749,F,,Category 8
L3_S30_F3829,0.008090359,0.001140748,0.009698408,1,3,30,3829,F,,Category 8
L3_S30_D3566,0.007999509,0.00056571,0.004092155,1,3,30,3566,D,,Category 8
L3_S30_F3494,0.007905305,0.000233753,0.011192045,1,3,30,3494,F,,Category 7
L3_S30_F3769,0.007897332,0.00033849,0.011048819,1,3,30,3769,F,,Category 7
L3_S29_F3327,0.007772132,0.000785145,0.011560339,1,3,29,3327,F,,Category 8
L3_S30_F3804,0.007737757,0.0002187,0.008613987,1,3,30,3804,F,,Category 7
L3_S37_D3942,0.007691297,0.002057925,0.005033351,1,3,37,3942,D,,Category 8
L1_S24_D1558,0.007496747,0.002805958,0.008000164,1,1,24,1558,D,,Category 8
L0_S12_F350,0.007474438,0.000335588,0.005381184,1,0,12,350,F,,Category 7
L3_S29_F3351,0.00737012,0.003833439,0.009677947,1,3,29,3351,F,,Category 3
L3_S38_F3960,0.007291223,0.001012206,0.007406801,1,3,38,3960,F,,Category 3
L3_S35_D3886,0.007158925,0.000231744,0.009350575,1,3,35,3886,D,,Category 6
L3_S36_D3919,0.007154668,0.000817672,0.008491222,1,3,36,3919,D,,Category 3
L3_S29_F3348,0.006844387,0.000328271,0.009411957,1,3,29,3348,F,,Category 6
L3_S30_F3609,0.006443183,0.000260676,0.009084585,1,3,30,3609,F,,Category 6
L3_S30_F3809,0.006428473,0.0002589,0.00947334,1,3,30,3809,F,,Category 6
L3_S30_F3704,0.006288389,0.006085682,0.00499243,1,3,30,3704,F,,Category 3
L3_S30_F3554,0.006013135,0.000674534,0.009555183,1,3,30,3554,F,,Category 3
L3_S30_F3574,0.005906768,0.000277967,0.008818595,1,3,30,3574,F,,Category 6
L3_S29_F3479,0.00577571,9.67484E-05,0.009023203,1,3,29,3479,F,,Category 6
L3_S30_F3534,0.005708271,0.000324338,0.008532144,1,3,30,3534,F,,Category 6
L3_S29_F3354,0.005541809,0.000265569,0.008839056,1,3,29,3354,F,,Category 6
L2_S26_D3037,0.005311344,0.004841629,0.005176577,1,2,26,3037,D,,Category 3
L3_S32_F3854:T16,0.00530632,0.082375774,0.002005156,1,3,32,3854,F,T16,Category 7
L3_S30_F3794,0.00526879,0.000133866,0.007263576,1,3,30,3794,F,,Category 6
L3_S30_F3514,0.005234507,0.000188211,0.00709989,1,3,30,3514,F,,Category 6
L3_S29_F3330,0.005167679,0.000132554,0.008675369,1,3,29,3330,F,,Category 6
L0_S6_D120,0.005147779,0.000261457,0.0057904,1,0,6,120,D,,Category 5
L2_S26_F3117,0.005086115,0.000164567,0.004910586,1,2,26,3117,F,,Category 5
L3_S29_F3373,0.005061325,0.000159977,0.008082007,1,3,29,3373,F,,Category 6
L0_S7_D137,0.004893695,0.000391269,0.004951508,1,0,7,137,D,,Category 5
L3_S29_F3345,0.004854655,0.000122898,0.006915743,1,3,29,3345,F,,Category 6
L3_S29_F3339,0.004830628,0.001420733,0.006445145,1,3,29,3339,F,,Category 3
L3_S29_F3333,0.004828266,0.000182958,0.00789786,1,3,29,3333,F,,Category 6
L3_S29_F3473,0.004781859,0.000168384,0.007202193,1,3,29,3473,F,,Category 6
L3_S29_F3336,0.004584666,0.000207402,0.007222654,1,3,29,3336,F,,Category 6
L3_S30_F3604,0.00457152,7.22431E-05,0.006792978,1,3,30,3604,F,,Category 6
L3_S29_F3379,0.004506212,0.000147264,0.007284037,1,3,29,3379,F,,Category 6
L0_S3_D70,0.004441391,0.000407449,0.004951508,1,0,3,70,D,,Category 5
L3_S30_F3639,0.00425529,0.000106079,0.005606253,1,3,30,3639,F,,Category 5
L3_S30_F3629,0.004198207,0.000168202,0.006199615,1,3,30,3629,F,,Category 6
L0_S13_F356,0.004137552,0.002679897,0.004276302,1,0,13,356,F,,Category 3
L3_S29_F3376,0.004131766,0.000110482,0.006833899,1,3,29,3376,F,,Category 6
L3_S29_F3342,0.004098454,0.000239224,0.005565331,1,3,29,3342,F,,Category 5
L0_S4_D106,0.004070748,0.000411789,0.003867087,1,0,4,106,D,,Category 5
L3_S30_F3519,0.004060407,8.9313E-05,0.006977125,1,3,30,3519,F,,Category 6
L3_S29_F3382,0.003979385,0.000167655,0.005197037,1,3,29,3382,F,,Category 5
L3_S35_F3889,0.003933846,8.67439E-05,0.007447723,1,3,35,3889,F,,Category 6
L3_S29_F3324,0.003892953,0.000450084,0.006792978,1,3,29,3324,F,,Category 6
L0_S2_F60,0.003805859,0.000183837,0.00501289,1,0,2,60,F,,Category 5
L0_S2_F44,0.003802684,0.000358954,0.004501371,1,0,2,44,F,,Category 5
L0_S4_F109,0.003722574,0.000819952,0.006015468,1,0,4,109,F,,Category 3
L3_S29_F3427,0.003719834,4.86805E-05,0.00554487,1,3,29,3427,F,,Category 5
L3_S30_F3669,0.003717129,7.87425E-05,0.005463027,1,3,30,3669,F,,Category 5
