"Feature","Gain","Cover","Frequency"
"L3_S32_F3854:T2",0.0519524249618964,0.0850604405755938,0.00266514691831911
"L3_S33_D3856",0.0307117884186968,0.106861523925825,0.0121356375400191
"L3_S33_F3859",0.0305009275921968,0.00121202114573392,0.0165943110008549
"L1_S24_F1695",0.0256151406375998,0.104520272117035,0.0067550579124692
"L1_S24_F1604",0.0153446443527523,0.128036739401079,0.00596724718818619
"L3_S33_F3855",0.0142374111616786,0.000288126392195698,0.00274895656983858
"L3_S32_F3851:T1",0.0141137738376047,0.00492240945870445,0.000653715281851858
"L3_S29_D3474",0.0140835035153713,0.00519744967089619,0.00928610938835716
"L3_S32_F3854:T4",0.0139954410568569,0.0814317765066539,0.00177676461221274
"L3_S32_D3852",0.0138103859760067,0.00539570195920501,0.00217905093950619
"L3_S34_D3875",0.0136243392145361,0.00379031036085854,0.00908496622471044
"L3_S29_D3316",0.0119977331042621,0.00549855268456806,0.00754286863675221
"L3_S38_F3952",0.0119187753248062,0.000288305883466802,0.00683886756398867
"L3_S30_F3754",0.0114313704910217,0.000647791245007211,0.017197740491795
"L3_S33_F3857",0.0112141858274021,0.000807824918201111,0.0130407817764294
"L3_S36_F3920",0.0109657394728654,0.000481455241435717,0.0156388809735329
"L3_S33_F3865",0.0105151597544751,0.00151059413152663,0.0115824938399906
"L3_S30_F3744",0.00945534464226087,0.00786236673564059,0.0123367807036658
"L3_S30_F3804",0.00934032961719388,0.0004269264532144,0.00982249115808176
"L3_S30_F3759",0.00919878573117577,0.000468715243989462,0.0137447828491929
"L3_S30_F3774",0.00916767198013101,0.000572665296207693,0.0116160177005984
"L3_S38_F3956",0.00916521659386647,0.0010268520552015,0.00370438659716053
"L3_S36_D3919",0.00893274382057411,0.00197390696552085,0.0100571581823363
"L3_S30_F3809",0.00874458870081933,0.000729941958498852,0.010576778021757
"L3_S30_F3769",0.008412327325868,0.000709034396444566,0.0111131597914816
"L3_S30_F3749",0.00827217056490159,0.00205446607785855,0.011683065421814
"L3_S37_D3942",0.00796655124013066,0.000621942575788012,0.00306743324561256
"L3_S30_F3494",0.00794667161017299,0.000419048961688474,0.0099901104611207
"L3_S29_F3327",0.00782548530716734,0.000848210115573984,0.0105264922308453
"L3_S30_D3566",0.00758216149967319,0.00112972377560217,0.00454248311235522
"L3_S38_D3953",0.00741106528687596,0.00303670327937929,0.00807925040647681
"L3_S29_F3348",0.00682805142437327,0.00906146739705398,0.00968839571565061
"L3_S35_D3886",0.00677416571243377,0.000415432252783981,0.00823010777921185
