"Feature","Gain","Cover","Frequency"
"L3_S32_F3854:T2",0.053221430176725,0.0939378039679373,0.00275451496101473
"L3_S33_F3859",0.032757766002642,0.000870963816340196,0.0142834929026812
"L1_S24_F1723",0.0261409463216023,0.0912538037198372,0.00828575871337495
"MinMin_features",0.0221010369534891,0.0230841804262392,0.00695292889352911
"S34_Mean",0.022004828586225,0.0710616273696792,0.0105071417464513
"L3_S33_F3865",0.0194568247257914,0.0010138723374404,0.0109958460137281
"L3_S32_F3851:T1",0.0181946743933409,0.00668999043047883,0.00139947131083813
"L1_S24_F1846",0.0166859518169898,0.115828251678375,0.00737499166981363
"S33_Mean",0.0159121076952815,0.00542508909434079,0.00224359686340716
"L3_S32_F3854:T4",0.0139231424126836,0.0913336159397725,0.00224359686340716
"MaxMax_features",0.0129157777294463,0.00162014291400373,0.0065308661172446
"S30_Mean",0.00991770137415917,0.00169464208264301,0.00861896616833641
"L3_S30_F3769",0.00956792082407196,0.000995903763758496,0.0117733300753049
"S31_Mean",0.00955791226169632,0.00158090516270802,0.00661972143856765
"S34_StationPositiveSumNumeric",0.0090442280686423,0.000379332600878097,0.0113512672990204
"L3_S30_F3759",0.00898835137397463,0.000323896300783048,0.0133060843681276
"S38_StationTiming",0.00872138229205455,0.000172626231208585,0.00995179598818224
"S31_StationNegativeSumNumeric",0.00866479902647507,0.000310126712626399,0.0131505875558122
"L3_S30_F3754",0.00859716313534934,0.000494470402053802,0.0133282981984584
"L0_S0_F20",0.00852266629610217,0.000411203801630906,0.00795255125841349
"L3_S30_F3774",0.00832108966617184,0.000414547196788568,0.0113734811293511
"sum_negative_feature",0.00816161680018244,0.000342197983353202,0.0106182108981052
"LastStation38",0.00812197159112484,8.06868935213864e-05,0.00277672879134549
"L3_S30_F3804",0.00795418318491656,0.00117825437740134,0.0102627896128129
"L3_S30_F3704",0.00790892116306613,0.00710647432490329,0.00644201079592154
"L3_S30_F3744",0.00780365283198118,0.000446820753386914,0.011195770486705
"S34_StationNegativeSumNumeric",0.00762476128308784,0.00031847010663766,0.0100850789701668
"L3_S30_F3749",0.0076146063558036,0.000446161668116688,0.0110847013350512
"S30_StationPositiveSumNumeric",0.00754957713521345,0.000770679056655347,0.0128840215918431
"L3_S38_F3956",0.00751264281289632,0.000212776891141084,0.00173267876579959
"sum_positive_feature",0.00747205513056513,0.000301492039090337,0.00997400981851301
"sum_feature",0.00744090057639201,0.000884165694805619,0.00857453850767488
"L3_S29_F3395",0.00742645158038471,0.00499498309180909,0.0107737077104205
"S34_SumNumeric",0.00739770045761765,0.000785268447279995,0.00768598529444432
"L1_S24_F1604",0.00735758848799554,0.0319231323307901,0.00370970966523758
"sum_sign_feature",0.00721908579414092,0.000123290534747926,0.0108847768620743
"S1_ProductStationNumeric",0.00719893387077394,0.000352752112017185,0.00995179598818224
"S31_SumNumeric",0.0068035693973977,0.000420520835091106,0.0101739342914899
"L3_S30_F3809",0.00672445146422839,0.000503010027342972,0.00997400981851301
"L3_S33_F3857",0.00665147094765265,0.000271587323845612,0.0075749161427905
"S30_Max",0.00660024602582471,0.00319453972978634,0.00388742030788369
"S39_Time0",0.00628877001155272,0.000634340740194942,0.0046204767087989
"L3_S29_F3479",0.00618811691990232,0.000249312953308132,0.00839682786502877
"L3_S30_F3554",0.00594428775912486,0.000324939564635173,0.00870782148965946
"L1_S24_F1498",0.0058699285861195,0.073806997202996,0.00479818735144501
"L3_S32_F3854:T16",0.0058642013227895,0.0912329980366102,0.00235466601506098
"L1_S24_F1844",0.00583480334287936,0.000941867422784138,0.00615323100162161
"TimeToExitProduction_features",0.00578038935312543,0.00105465822392575,0.00564231290401404
"S30_StationNegativeSumNumeric",0.00557679731601411,0.000238450658033133,0.00946309172090544
"S39_Mean",0.00552748233667968,0.00121992486739883,0.00690850123286758
"S37_SumNumeric",0.00552146033238473,0.000595158697640873,0.00861896616833641
"L2_S26_F3040",0.0054550538085633,0.00198547614688117,0.00657529377790612
"S35_Mean",0.00544936139423362,0.000846387099305531,0.0043094830841682
"S37_Time0",0.00544889544676815,0.000387194529997689,0.00801919274940578
"L0_S1_F24",0.00533087269899839,0.000366600403326209,0.00522025012772952
"L3_S29_F3351",0.00529641169232908,0.0010349142668578,0.00853011084701335
"S30_SumNumeric",0.00526668247241211,0.000118136211629108,0.00830797254370571
"S35_StationTiming",0.00507061431390552,0.00383045579094649,0.00582002354666015
"L3_S36_F3920",0.00494842499216921,0.000438748216585504,0.00746384699113668
"L3_S29_F3336",0.00484718667412193,0.000659862333776322,0.00737499166981363
"L3_S30_F3519",0.00484397681377006,6.029184496074e-05,0.00726392251815981
"S31_StationPositiveSumNumeric",0.00480840184627183,0.000292978992430259,0.00790812359775196
"L1_S24_F1695",0.00478529539581684,0.0123072964886971,0.00206588622076105
"L0_S12_F350",0.00474267066257056,0.000654528103367637,0.00402070328986827
"S36_SumNumeric",0.00463297876098842,0.000199689947034203,0.00746384699113668
"L3_S29_F3339",0.00459533949954993,0.000984342571388857,0.00548681609169869
"S34_Time0",0.00453469353415102,0.00056455598363263,0.00330986071928383
"S37_Mean",0.00452622766724359,0.000861046712585467,0.00524246395806029
"L1_S24_F867",0.00444517139070524,0.0752420222808106,0.00457604904813737
"S1_SumNumeric",0.00439383672146457,0.000873474516714702,0.00497589799409112
"S27_StationTiming",0.00435882484642499,0.000177812548143931,0.00721949485749828
"S2_ProductStationNumeric",0.0043042586067339,0.000686201709533646,0.00695292889352911
"S1_StationPositiveSumNumeric",0.00425602454081606,0.000438777066878418,0.005175822467068
"S37_StationNegativeSumNumeric",0.00416926533979118,0.000168195281354428,0.00604216184996779
"L3_S29_F3382",0.00406741727254554,0.000207186035428282,0.00628651398360619
"sum_NA_feature",0.00403492559043276,0.000111767161652601,0.00293222560366084
"S13_ProductStationNumeric",0.00401761474354382,0.000441843697201428,0.00466490436946043
"S36_Time0",0.00391058163223336,0.000389087189855138,0.00641979696559078
"S13_StationNegativeSumNumeric",0.00386738140232999,0.000324169437421646,0.00297665326432237
"S25_SumNumeric",0.00375548329106123,0.000791559587749953,0.0070195703845214
"S2_SumNumeric",0.00370949273102861,0.000553137142015339,0.00450940755714508
"S25_Max",0.00368867303442138,0.00090250586316293,0.00297665326432237
"S36_StationNegativeSumNumeric",0.00362010754792969,0.000534284613404222,0.005175822467068
"S1_StationNegativeSumNumeric",0.00338558733523559,0.000147608503336471,0.0043761245751605
"S7_ProductStationNumeric",0.00336767814893193,0.000533952623370936,0.0037541373258991
"S8_ProductStationNumeric",0.00332768096644364,0.000359273540721896,0.0038207788168914
"S2_StationNegativeSumNumeric",0.00325074081399533,0.000332807683599259,0.00379856498656063
"S31_StationTiming",0.00322285323904815,0.000633663147510624,0.0038207788168914
"S30_Time0",0.00318574606058552,0.00012822283108763,0.00442055223582202
"S25_StationTiming",0.00304938815378271,0.00139736409627772,0.00373192349556834
"L3_S38_F3960",0.00304449667192522,0.000479780250315875,0.0032654330586223
"S2_StationPositiveSumNumeric",0.00301140174271288,0.000113932539266292,0.00422062776284515
"L0_S1_F28",0.00298863194876601,0.000369659580663354,0.00428726925383744
"S28_StationTiming",0.00296923121825068,0.00036166049545501,0.00293222560366084
"S36_StationPositiveSumNumeric",0.00293004993519828,0.000511072865895436,0.0048648288424373
"S33_Time0",0.00292260755815213,0.000927595112338584,0.0013550436501766
"S14_StationNegativeSumNumeric",0.00289225474724148,0.000848398117570664,0.00339871604060688
"S35_Time0",0.00284577765076005,0.000254900328287847,0.00390963413821445
"S25_StationNegativeSumNumeric",0.00282876198114313,0.000223168144381953,0.00550902992202946
"L1_S24_F1632",0.00281292546065232,5.02847376184982e-05,0.00313215007663771
