"Feature","Gain","Cover","Frequency"
"L3_S32_F3854:T2",0.0435604942829568,0.0782742120079284,0.00218241216795201
"L3_S33_F3859",0.0382317329406305,0.0010018945427245,0.0226140745501285
"L1_S24_F1723",0.0252169860989045,0.0882572645631311,0.00792630676949443
"S34_Mean",0.0233135923901735,0.087042228628276,0.00893048414738646
"L3_S33_F3865",0.0227597010505523,0.00127277956396522,0.0168701799485861
"MinMin_features",0.0203602297437929,0.0344588281706953,0.00767191516709512
"L3_S33_F3857",0.0191468670500903,0.000859641731771741,0.0218642887746358
"L3_S30_F3759",0.0188673689878082,0.00108896015162083,0.024943766066838
"L3_S30_F3754",0.0179478442105728,0.00104341752484248,0.0268717866323907
"L0_S0_F20",0.0176479588790852,0.00126309067289989,0.018691088260497
"L1_S24_F1846",0.0166327278353277,0.102621981094537,0.00799325192802056
"L3_S30_F3744",0.0162779157943219,0.00110315524847896,0.0233103041988003
"L3_S30_F3774",0.0161779323783077,0.000574798315328168,0.0224801842330763
"L3_S30_F3749",0.0160714531061136,0.00103001595989157,0.0212617823479006
"L3_S30_F3769",0.0157900832112216,0.00124768472633533,0.0194944301628106
"L3_S30_F3809",0.0150125877284699,0.00116157050400815,0.0203647172236504
"L3_S30_F3804",0.0148285776737224,0.00140299732503283,0.0192534275921165
"L3_S32_F3851:T1",0.0147091908152383,0.00573743010327939,0.000990788346186804
"MaxMax_features",0.0143451626577524,0.00666892097765843,0.00875642673521851
"L3_S30_F3554",0.0142807354627878,0.000776094121887223,0.0208065552699229
"L3_S29_F3479",0.0136746734002443,0.000384273570928958,0.0176333547557841
"L3_S36_F3920",0.0136286143680371,0.00100175635328963,0.0202040488431877
"S30_Mean",0.0129415538959936,0.00341888816611147,0.0134158097686375
"S33_Mean",0.0123313190403257,0.00522258611950955,0.00172718508997429
"L3_S29_F3395",0.0113697619151411,0.0227780613487528,0.0168434018851757
"L3_S32_F3854:T4",0.0112303607347015,0.0746723838526143,0.00141923736075407
"L0_S12_F350",0.011229681846436,0.0015077450369102,0.0108183376178235
"L3_S29_F3336",0.0111020955704202,0.000940202185234322,0.0150091045415596
"L3_S29_F3382",0.0108585738152782,0.000392058427455744,0.0148082690659811
"L0_S1_F28",0.01083877636397,0.00130342237822946,0.0141789845758355
"L3_S29_F3351",0.0108379825753435,0.0017201605055465,0.0146877677806341
"S31_Mean",0.0105459046987789,0.00240655478758824,0.00802002999143102
"S38_StationTiming",0.0102349404494727,0.0012052072824606,0.0117020137103685
"S37_Mean",0.0097370632260788,0.00125460703848228,0.0113003427592117
"L0_S1_F24",0.00955992029284469,0.000725208338421736,0.011380676949443
"L3_S30_F3704",0.00933230400084779,0.0122039861408638,0.00819408740359897
"S37_Time0",0.00911517226060291,0.000370921428103662,0.0124785775492716
"L3_S30_F3519",0.0089404393191394,0.000263701734623513,0.0132953084832905
"L3_S29_F3339",0.00882276264792663,0.0010014345199981,0.0106844473007712
"TimeToExitProduction_features",0.00864067768518971,0.00135533296580813,0.00846186803770351
"S36_Time0",0.00861591295821256,0.00054638758135628,0.0122509640102828
"S36_Mean",0.00774811389112209,0.000566616383263355,0.0113538988860326
"L2_S26_F3040",0.00766838784036041,0.00317916493963304,0.00894387317909169
"L3_S38_F3956",0.00745940133820968,0.000810908888481535,0.00289203084832905
"S27_Mean",0.00735461640798616,0.00416910412321605,0.00668112682090831
"LastStation38",0.00704773477493052,7.81780825672676e-05,0.00183429734361611
"S8_Mean",0.00685543132423318,0.000720426029453927,0.00883676092544987
"S39_Time0",0.00679333744749216,0.000999331270659852,0.00431126820908312
"S39_Mean",0.00674405827599321,0.00271381604017729,0.00688196229648672
"L1_S24_F1844",0.00631294474100639,0.000656138215560589,0.00732380034275921
"S7_Mean",0.00630318839265284,0.00036608285194062,0.00694890745501285
"S35_Mean",0.00614810148046064,0.00113324657573462,0.0049941088260497
"S35_StationTiming",0.00612545628991092,0.00633252024534118,0.00694890745501285
"S4_Mean",0.00607927659216393,0.000433747953607998,0.00737735646958012
"S27_StationTiming",0.006007960314099,0.000777223659250866,0.00986771636675236
"S6_Mean",0.00572000218767286,0.00120051484821699,0.00635979005998286
"S28_Mean",0.00559281025182141,0.0021430820589928,0.00431126820908312
"L1_S24_F1498",0.00559046522676421,0.0654003591182271,0.00480666238217652
"S3_Mean",0.00553155577072016,0.000824073154555935,0.00626606683804627
"L1_S24_F1604",0.0054977356701572,0.0398508022720983,0.00251713796058269
"S5_Mean",0.00535730638912927,0.00126242270785721,0.00644012425021422
"S30_Time0",0.00519541738783659,0.000306818758074041,0.00672129391602399
"S25_StationTiming",0.0051343161835621,0.00266091943148186,0.00724346615252785
"S27_Time0",0.00484876764439566,0.0018258344800923,0.00650706940874036
"L0_S4_F104",0.00482730534984313,0.00129979360163293,0.00688196229648672
"L1_S24_F867",0.00479324403368489,0.0670763079117015,0.00444515852613539
"S31_StationTiming",0.00477504991471213,0.00103367136966786,0.00599828620394173
"S30_Max",0.00466538721352553,0.00367268232881444,0.00289203084832905
"L3_S32_F3854:T16",0.0044755251931535,0.0745009581488226,0.0014326263924593
"S12_StationTiming",0.00446332313644002,0.000946643453429886,0.00625267780634105
"S28_Time0",0.00433838016975467,0.00122821309590828,0.00480666238217652
"S1_Mean",0.0043059435729193,0.00019605790563961,0.00382926306769494
"S11_StationTiming",0.00427151120640978,0.000904858769460578,0.00587778491859469
"L1_S24_F1695",0.00426386351763811,0.0101683657400295,0.00125856898029135
"S35_Time0",0.0042179860646519,0.000474610575468553,0.00532883461868038
"S25_Max",0.00418936440750558,0.00273598726080676,0.00428449014567267
"S34_Time0",0.00417564573339494,0.000473268285625512,0.00334725792630677
"S16_Mean",0.00415231474129743,0.00108391197926649,0.00507444301628106
"S10_StationTiming",0.00404951283153611,0.000268552434195665,0.00599828620394173
"L2_S27_F3166",0.00402793367054047,0.00535551247592744,0.00483344044558697
"S12_Mean",0.00399156796264375,0.00112361014647903,0.00631962296486718
"S10_Mean",0.00380387145736667,0.00104877049662614,0.00590456298200514
"L3_S38_F3960",0.00377782548449427,0.00104312675738335,0.00353470437017995
"S28_StationTiming",0.00375691374264616,0.000322221428988412,0.00465938303341902
"S30_StationTiming",0.00363143961466493,0.000262815138371803,0.00472632819194516
"S11_Mean",0.00349088874907351,0.000538128502591719,0.00530205655526992
