"Feature","Gain","Cover","Frequency"
"dedups",0.119302276728112,0.0902169446046264,0.00661492786082608
"L3_S32_F3854:T2",0.0788332873373332,0.0456883314754645,0.00148445231522475
"L1_S24_F1723",0.0381301511240339,0.0412645863471437,0.00802125110682848
"L3_S33_F3859",0.0332701393262444,0.00648734857943471,0.0263294963279337
"L1_S24_F1846",0.0245894495751103,0.0523145254540444,0.0097400906297203
"L3_S32_F3851:T1",0.023794932788486,0.0180723668794947,0.00111984999218709
"L3_S32_F3854:T4",0.0212325993929159,0.0434291501650554,0.00135423719985416
"S34_Time0",0.0193678112339974,0.00451021480383112,0.00690140111464139
"S34_Mean",0.0167007468849578,0.063679700272236,0.0108338975988333
"MinMin_features",0.016449625064489,0.0319995696753466,0.00942757435283088
"S33_Mean",0.015468650437737,0.00986376380388948,0.00307307672274598
"L3_S33_F3857",0.0135176028944797,0.00304056224529809,0.0211469347361842
"MaxMax_features",0.0125145934068103,0.00819520755778823,0.00825563831449555
"L3_S30_F3744",0.0119608092775261,0.0105565904798782,0.0204177300901089
"L3_S33_F3865",0.0119390970218404,0.00896078573619513,0.0214073649669254
"L3_S30_F3754",0.0114673339580561,0.00273413651827413,0.0222407417052972
"L3_S30_F3774",0.0111864787450138,0.00307634909049263,0.0223188707745195
"L3_S30_F3759",0.0111291781367994,0.00182340903075764,0.0214854940361477
"L3_S38_F3956",0.0106669972210414,0.00115503722797555,0.00250013021511537
"L1_S24_F1695",0.0106209395381991,0.0201335825718297,0.00252617323818949
"L0_S0_F20",0.0105846179439696,0.00487051161731139,0.0152872545445075
"L3_S36_F3920",0.0103287486564199,0.0017112584400208,0.020443773113183
"L3_S30_F3804",0.0101994891603265,0.00439756736365492,0.0186468045210688
"L1_S24_F1604",0.0101776929798589,0.0175393286952056,0.00250013021511537
"L3_S29_F3339",0.0100669000260368,0.00865375960402756,0.016485233605917
"L3_S29_F3395",0.00982527182980333,0.00414159212134811,0.0190374498671806
"L3_S30_F3554",0.00979451970584109,0.00362371490873517,0.0195583103286629
"L3_S30_F3809",0.00931315783624305,0.00819366609102479,0.0188030626595135
"L3_S30_F3749",0.00904353167243487,0.00471921412323114,0.0195843533517371
"S30_Mean",0.00876621352335915,0.00516951295263565,0.0125787801447992
"S39_Mean",0.00874822672140494,0.00972286993223541,0.00765664878379082
"L3_S30_F3704",0.00868300493603586,0.0169678608941405,0.010781811552685
"L3_S30_F3769",0.00865562234126897,0.00367957848374025,0.0156778998906193
"L0_S1_F28",0.00843849357402202,0.00622907144038491,0.0151570394291369
"L1_S24_F1844",0.00810405661725589,0.0110248640772912,0.00921923016823793
"L3_S29_F3479",0.00781120563481557,0.00205395076130997,0.0152351684983593
"L0_S12_F350",0.00757865765170171,0.00731393119235659,0.00947966039897911
"S37_Mean",0.00743856026502021,0.005133364787288,0.011875618521798
"L3_S29_F3336",0.00738065683201173,0.00327527719532308,0.0150528673368405
"L3_S32_F3854:T16",0.00735283600699115,0.0409983740798827,0.00158862440752123
"S38_StationTiming",0.00730373950352747,0.00130010714552536,0.0114849731756862
"L1_S24_F1498",0.0069971720070675,0.0447601308761588,0.00645866972238137
"L3_S29_F3382",0.00697430407232543,0.00309563000263601,0.014297619667691
"S31_Mean",0.00685896731010816,0.00267515977498436,0.0100526069066097
"TimeToExitProduction_features",0.006814393212189,0.00443452131656032,0.00971404760664618
"L0_S1_F24",0.00668477939294269,0.0025092745444099,0.0107557685296109
"S37_Time0",0.0064837044147648,0.00703874151098196,0.012969425490911
"L3_S29_F3351",0.0063016916229382,0.00664333138636473,0.0103911662065733
"S36_Mean",0.00591045991120846,0.00356206670870628,0.0109641127142039
"L2_S26_F3040",0.00586964687239485,0.00637237326020621,0.00921923016823793
"L3_S32_F3850",0.00569203073981557,0.00598848077454031,0.00450544299182249
"S36_Time0",0.00562108629039865,0.000902844227381082,0.0116933173602792
"S27_Mean",0.0053094054617662,0.00193672583012826,0.00789103599145789
"L0_S4_F104",0.00528924155656536,0.00656021612142309,0.00708370227616022
"L3_S30_F3519",0.00512657763349733,0.000494274344651133,0.0115631022449086
"L1_S24_F867",0.00509190281143536,0.0378993703858455,0.00625032553778843
"S25_Max",0.00499153215869755,0.00388001826010953,0.00541694879941664
"L3_S38_F3960",0.00435013980177471,0.00473447802360971,0.00468774415334132
"S6_Mean",0.0043043418526556,0.00143338499603097,0.00737017552997552
"L1_S24_F1578",0.00429275520490639,0.00647002929899539,0.00916714412208969
"S35_Time0",0.004234783544779,0.00154623372415199,0.00557320693786135
"S38_Mean",0.00420013020038086,0.00639667533875744,0.00401062555341424
"S35_Mean",0.00397048590287824,0.00352020424083641,0.00554716391478723
"L1_S24_F1758",0.00391359457537485,0.0042663284816306,0.00515651856867545
"S13_Mean",0.0037954861657865,0.00410509950100258,0.00419292671493307
"S35_StationTiming",0.00375267099258102,0.0111400995759436,0.00638054065315902
"S25_StationTiming",0.00372218379486861,0.00652479988450432,0.00744830459919787
"S7_Mean",0.00365780007446194,0.00186095368572534,0.00627636856086254
"S28_StationTiming",0.00363382881654396,0.0029165837757431,0.00614615344549195
"S27_StationTiming",0.00362469655270516,0.000950462969682008,0.00963591853742382
"S1_Mean",0.00360617252360711,0.00176113986090854,0.00442731392260014
"S8_Mean",0.00356125447190688,0.00382815505393807,0.00679722902234491
"L1_S24_F1842",0.00355860867687447,0.00131227989851281,0.0063544976300849
"L1_S24_F1609",0.00351636946604994,0.000576493250113076,0.00247408719204125
"S4_Mean",0.00351077436376503,0.00187900674435422,0.00643262669930726
"S31_Time0",0.0034802551105287,0.00103759742228838,0.00354185113808011
"LastStation38",0.00345519173163642,5.38416538816788e-05,0.000963591853742382
"L2_S27_F3166",0.00339612129261397,0.00681943850327505,0.00487004531486015
"S30_Time0",0.00332805548028823,0.00095345097106155,0.00656284181467785
"S5_Mean",0.00327794233422784,0.00282968273983421,0.00520860461482369
"S12_Mean",0.0031828291520418,0.0029712759189716,0.00544299182249075
"S11_Mean",0.00295380148044923,0.00182856374363747,0.00502630345330486
"S28_Time0",0.00284130941963025,0.00619934107008683,0.00526069066097193
"S24_StationTiming",0.00283122429960294,0.00278611207362212,0.00502630345330486
"S28_Mean",0.00281326684102757,0.00317252333441463,0.00450544299182249
"S3_Mean",0.00276832221875289,0.00274212830554308,0.00572946507630606
"S10_Mean",0.00275541022891735,0.000914937017626247,0.00541694879941664
"S27_Time0",0.00266347211316965,0.00141115451919387,0.00619823949164019
"S18_Mean",0.00265149671759327,0.00179326859109076,0.003958539507266
"S31_StationTiming",0.00262452606356044,0.00238619013907264,0.00479191624563779
"S11_StationTiming",0.00262163806938899,0.00155243179017141,0.00489608833793427
"S30_Max",0.00236871888260541,0.00150471341742228,0.00247408719204125
"S10_StationTiming",0.00236271748876538,0.000750501859699408,0.00471378717641544
"S16_Mean",0.00229494420707825,0.00155445093963783,0.00424501276108131
"S15_Mean",0.00228682145859208,0.00252124103907642,0.00393249648419189
"S7_Time0",0.00226567130762336,0.00327983158204889,0.0036720662534507
"S39_Time0",0.00225327084111133,0.00112000043879432,0.00322933486119069
"S22_StationTiming",0.00221222557262837,0.0016570594986679,0.00346372206885775
"L3_S34_F3880",0.00208319124658409,9.6398089187488e-05,0.00067711859992708
"L3_S29_F3412",0.00205031637492346,0.00193042261457019,0.00205739882285536
"S12_StationTiming",0.00203202685426278,0.00127334743365233,0.00492213136100839
"L3_S32_F3854:T48",0.00197873593979625,0.0138996534211806,0.0012761081306318
"L1_S24_F1632",0.00188333945639772,0.000341550529215481,0.00346372206885775
