,Names,Hash,unicity,is_dup
1,Id,ff9cdff5978794e0f3e92229373ae0d3,TRUE,FALSE
2,L0_S1_F25,7f2c36235e1d1e683e1c55bed7c8c578,TRUE,FALSE
3,L0_S1_F27,bab67395295d61bc5cbc6dc7b1affd54,TRUE,FALSE
4,L0_S1_F29,1ae3850a701e50ad3f2826d6f76a8f95,TRUE,FALSE
5,L0_S1_F31,8ed0b342d20ffa9f9a6ecc1036fb93e1,TRUE,FALSE
6,L0_S2_F33,cc1a06452c89aec83b617a22f5a48c77,TRUE,TRUE
7,L0_S2_F35,b6b9ce666d12d56ce3be180159d0d356,TRUE,TRUE
8,L0_S2_F37,cc1a06452c89aec83b617a22f5a48c77,FALSE,TRUE
9,L0_S2_F39,b6b9ce666d12d56ce3be180159d0d356,FALSE,TRUE
10,L0_S2_F41,cc1a06452c89aec83b617a22f5a48c77,FALSE,TRUE
11,L0_S2_F43,b6b9ce666d12d56ce3be180159d0d356,FALSE,TRUE
12,L0_S2_F45,cc1a06452c89aec83b617a22f5a48c77,FALSE,TRUE
13,L0_S2_F47,b6b9ce666d12d56ce3be180159d0d356,FALSE,TRUE
14,L0_S2_F49,cc1a06452c89aec83b617a22f5a48c77,FALSE,TRUE
15,L0_S2_F51,b6b9ce666d12d56ce3be180159d0d356,FALSE,TRUE
16,L0_S2_F53,cc1a06452c89aec83b617a22f5a48c77,FALSE,TRUE
17,L0_S2_F55,b6b9ce666d12d56ce3be180159d0d356,FALSE,TRUE
18,L0_S2_F57,cc1a06452c89aec83b617a22f5a48c77,FALSE,TRUE
19,L0_S2_F59,b6b9ce666d12d56ce3be180159d0d356,FALSE,TRUE
20,L0_S2_F61,cc1a06452c89aec83b617a22f5a48c77,FALSE,TRUE
21,L0_S2_F63,b6b9ce666d12d56ce3be180159d0d356,FALSE,TRUE
22,L0_S2_F65,cc1a06452c89aec83b617a22f5a48c77,FALSE,TRUE
23,L0_S2_F67,b6b9ce666d12d56ce3be180159d0d356,FALSE,TRUE
24,L0_S3_F69,b2348abc519de07082edfb739e7d4876,TRUE,TRUE
25,L0_S3_F71,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
26,L0_S3_F73,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
27,L0_S3_F75,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
28,L0_S3_F77,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
29,L0_S3_F79,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
30,L0_S3_F81,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
31,L0_S3_F83,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
32,L0_S3_F85,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
33,L0_S3_F87,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
34,L0_S3_F89,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
35,L0_S3_F91,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
36,L0_S3_F93,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
37,L0_S3_F95,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
38,L0_S3_F97,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
39,L0_S3_F99,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
40,L0_S3_F101,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
41,L0_S3_F103,b2348abc519de07082edfb739e7d4876,FALSE,TRUE
42,L0_S4_F105,876dc29cdfb00e0353e7677fd89bec6e,TRUE,FALSE
43,L0_S4_F107,4e4d2bf1d6e5d5e890b2943a3980946e,TRUE,FALSE
44,L0_S4_F108,5e39341c72e8ed28d374f3eed1626100,TRUE,FALSE
45,L0_S4_F110,43b3e963db04502379af5784f9a01290,TRUE,FALSE
46,L0_S4_F112,6e8c03e496f3704656c68bad543c69d3,TRUE,FALSE
47,L0_S4_F113,79c622cdf35a5dd164908973f45432e5,TRUE,FALSE
48,L0_S6_F119,d6890dc133d1ec948fd892517c170504,TRUE,TRUE
49,L0_S6_F121,ede06d5158429ef8889e91513767cd3b,TRUE,TRUE
50,L0_S6_F123,d6890dc133d1ec948fd892517c170504,FALSE,TRUE
51,L0_S6_F125,ede06d5158429ef8889e91513767cd3b,FALSE,TRUE
52,L0_S6_F126,d6890dc133d1ec948fd892517c170504,FALSE,TRUE
53,L0_S6_F128,ede06d5158429ef8889e91513767cd3b,FALSE,TRUE
54,L0_S6_F129,d6890dc133d1ec948fd892517c170504,FALSE,TRUE
55,L0_S6_F131,ede06d5158429ef8889e91513767cd3b,FALSE,TRUE
56,L0_S6_F133,d6890dc133d1ec948fd892517c170504,FALSE,TRUE
57,L0_S6_F135,ede06d5158429ef8889e91513767cd3b,FALSE,TRUE
58,L0_S9_F151,335e1ac5ba96f028bab6561eb694e975,TRUE,TRUE
59,L0_S9_F153,8bc16eb6cdcf214515162112ecdc5754,TRUE,TRUE
60,L0_S9_F154,371909d0e317328d16e4f15eee06996c,TRUE,FALSE
