,Names,Hash,unicity,is_dup
1,Id,ff9cdff5978794e0f3e92229373ae0d3,TRUE,FALSE
2,L0_S0_D1,9a8287618d00b97243cfa58e2f405197,TRUE,TRUE
3,L0_S0_D3,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
4,L0_S0_D5,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
5,L0_S0_D7,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
6,L0_S0_D9,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
7,L0_S0_D11,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
8,L0_S0_D13,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
9,L0_S0_D15,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
10,L0_S0_D17,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
11,L0_S0_D19,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
12,L0_S0_D21,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
13,L0_S0_D23,9a8287618d00b97243cfa58e2f405197,FALSE,TRUE
14,L0_S1_D26,148db7d7064784fef1dbc6eeddb0741b,TRUE,FALSE
15,L0_S1_D30,7e910e631a4e13af68077a6803766929,TRUE,FALSE
16,L0_S2_D34,75babdeb3072a0368d865a0ee2d51970,TRUE,TRUE
17,L0_S2_D38,75babdeb3072a0368d865a0ee2d51970,FALSE,TRUE
18,L0_S2_D42,75babdeb3072a0368d865a0ee2d51970,FALSE,TRUE
19,L0_S2_D46,75babdeb3072a0368d865a0ee2d51970,FALSE,TRUE
20,L0_S2_D50,75babdeb3072a0368d865a0ee2d51970,FALSE,TRUE
21,L0_S2_D54,75babdeb3072a0368d865a0ee2d51970,FALSE,TRUE
22,L0_S2_D58,75babdeb3072a0368d865a0ee2d51970,FALSE,TRUE
23,L0_S2_D62,75babdeb3072a0368d865a0ee2d51970,FALSE,TRUE
24,L0_S2_D66,75babdeb3072a0368d865a0ee2d51970,FALSE,TRUE
