line,station,feature_nr,feat_nr_dat,name_dat,name_cat,name_num,station_V2
0,0,0,1.0,L0_S0_D1,,L0_S0_F0,0.0
0,0,2,3.0,L0_S0_D3,,L0_S0_F2,0.0
0,0,4,5.0,L0_S0_D5,,L0_S0_F4,0.0
0,0,6,7.0,L0_S0_D7,,L0_S0_F6,0.0
0,0,8,9.0,L0_S0_D9,,L0_S0_F8,0.0
0,0,10,11.0,L0_S0_D11,,L0_S0_F10,0.0
0,0,12,13.0,L0_S0_D13,,L0_S0_F12,0.0
0,0,14,15.0,L0_S0_D15,,L0_S0_F14,0.0
0,0,16,17.0,L0_S0_D17,,L0_S0_F16,0.0
0,0,18,19.0,L0_S0_D19,,L0_S0_F18,0.0
0,0,20,21.0,L0_S0_D21,,L0_S0_F20,0.0
0,0,22,23.0,L0_S0_D23,,L0_S0_F22,0.0
0,1,24,,,,L0_S1_F24,1.0
0,1,25,26.0,L0_S1_D26,L0_S1_F25,,1.0
0,1,27,,,L0_S1_F27,,1.0
0,1,28,,,,L0_S1_F28,1.0
0,1,29,30.0,L0_S1_D30,L0_S1_F29,,1.0
0,1,31,,,L0_S1_F31,,1.0
0,2,32,,,,L0_S2_F32,2.0
0,2,33,34.0,L0_S2_D34,L0_S2_F33,,2.0
0,2,35,,,L0_S2_F35,,2.0
0,2,36,,,,L0_S2_F36,2.0
0,2,37,38.0,L0_S2_D38,L0_S2_F37,,2.0
0,2,39,,,L0_S2_F39,,2.0
0,2,40,,,,L0_S2_F40,2.0
0,2,41,42.0,L0_S2_D42,L0_S2_F41,,2.0
0,2,43,,,L0_S2_F43,,2.0
0,2,44,,,,L0_S2_F44,2.0
0,2,45,46.0,L0_S2_D46,L0_S2_F45,,2.0
0,2,47,,,L0_S2_F47,,2.0
0,2,48,,,,L0_S2_F48,2.0
0,2,49,50.0,L0_S2_D50,L0_S2_F49,,2.0
0,2,51,,,L0_S2_F51,,2.0
0,2,52,,,,L0_S2_F52,2.0
0,2,53,54.0,L0_S2_D54,L0_S2_F53,,2.0
0,2,55,,,L0_S2_F55,,2.0
0,2,56,,,,L0_S2_F56,2.0
0,2,57,58.0,L0_S2_D58,L0_S2_F57,,2.0
0,2,59,,,L0_S2_F59,,2.0
0,2,60,,,,L0_S2_F60,2.0
0,2,61,62.0,L0_S2_D62,L0_S2_F61,,2.0
0,2,63,,,L0_S2_F63,,2.0
0,2,64,,,,L0_S2_F64,2.0
0,2,65,66.0,L0_S2_D66,L0_S2_F65,,2.0
0,2,67,,,L0_S2_F67,,2.0
0,3,68,,,,L0_S3_F68,3.0
0,3,69,70.0,L0_S3_D70,L0_S3_F69,,3.0
0,3,71,,,L0_S3_F71,,3.0
0,3,72,,,,L0_S3_F72,3.0
0,3,73,74.0,L0_S3_D74,L0_S3_F73,,3.0
0,3,75,,,L0_S3_F75,,3.0
0,3,76,,,,L0_S3_F76,3.0
0,3,77,78.0,L0_S3_D78,L0_S3_F77,,3.0
0,3,79,,,L0_S3_F79,,3.0
0,3,80,,,,L0_S3_F80,3.0
0,3,81,82.0,L0_S3_D82,L0_S3_F81,,3.0
0,3,83,,,L0_S3_F83,,3.0
0,3,84,,,,L0_S3_F84,3.0
0,3,85,86.0,L0_S3_D86,L0_S3_F85,,3.0
0,3,87,,,L0_S3_F87,,3.0
0,3,88,,,,L0_S3_F88,3.0
0,3,89,90.0,L0_S3_D90,L0_S3_F89,,3.0
0,3,91,,,L0_S3_F91,,3.0
0,3,92,,,,L0_S3_F92,3.0
0,3,93,94.0,L0_S3_D94,L0_S3_F93,,3.0
0,3,95,,,L0_S3_F95,,3.0
0,3,96,,,,L0_S3_F96,3.0
0,3,97,98.0,L0_S3_D98,L0_S3_F97,,3.0
0,3,99,,,L0_S3_F99,,3.0
0,3,100,,,,L0_S3_F100,3.0
0,3,101,102.0,L0_S3_D102,L0_S3_F101,,3.0
0,3,103,,,L0_S3_F103,,3.0
0,4,104,,,,L0_S4_F104,4.0
0,4,105,106.0,L0_S4_D106,L0_S4_F105,,4.0
0,4,107,,,L0_S4_F107,,4.0
0,4,108,,,L0_S4_F108,,4.0
0,4,109,,,,L0_S4_F109,4.0
0,4,110,111.0,L0_S4_D111,L0_S4_F110,,4.0
0,4,112,,,L0_S4_F112,,4.0
0,4,113,,,L0_S4_F113,,4.0
0,5,114,115.0,L0_S5_D115,,L0_S5_F114,5.0
0,5,116,117.0,L0_S5_D117,,L0_S5_F116,5.0
0,6,118,,,,L0_S6_F118,6.0
0,6,119,120.0,L0_S6_D120,L0_S6_F119,,6.0
0,6,121,,,L0_S6_F121,,6.0
0,6,122,,,,L0_S6_F122,6.0
0,6,123,124.0,L0_S6_D124,L0_S6_F123,,6.0
0,6,125,,,L0_S6_F125,,6.0
0,6,126,127.0,L0_S6_D127,L0_S6_F126,,6.0
0,6,128,,,L0_S6_F128,,6.0
0,6,129,130.0,L0_S6_D130,L0_S6_F129,,6.0
0,6,131,,,L0_S6_F131,,6.0
0,6,132,,,,L0_S6_F132,6.0
0,6,133,134.0,L0_S6_D134,L0_S6_F133,,6.0
0,6,135,,,L0_S6_F135,,6.0
0,7,136,137.0,L0_S7_D137,,L0_S7_F136,7.0
0,7,138,139.0,L0_S7_D139,,L0_S7_F138,7.0
0,7,139,140.0,L0_S7_D140,,,7.0
0,7,140,141.0,L0_S7_D141,,,7.0
0,7,142,143.0,L0_S7_D143,,L0_S7_F142,7.0
0,8,144,145.0,L0_S8_D145,,L0_S8_F144,8.0
0,8,146,147.0,L0_S8_D147,,L0_S8_F146,8.0
0,8,147,148.0,L0_S8_D148,,,8.0
0,8,149,150.0,L0_S8_D150,,L0_S8_F149,8.0
0,9,151,152.0,L0_S9_D152,L0_S9_F151,,9.0
0,9,153,,,L0_S9_F153,,9.0
0,9,154,,,L0_S9_F154,,9.0
0,9,155,,,,L0_S9_F155,9.0
0,9,156,157.0,L0_S9_D157,L0_S9_F156,,9.0
0,9,158,,,L0_S9_F158,,9.0
0,9,159,,,L0_S9_F159,,9.0
0,9,160,,,,L0_S9_F160,9.0
0,9,161,162.0,L0_S9_D162,L0_S9_F161,,9.0
0,9,163,,,L0_S9_F163,,9.0
0,9,164,,,L0_S9_F164,,9.0
0,9,165,,,,L0_S9_F165,9.0
0,9,166,167.0,L0_S9_D167,L0_S9_F166,,9.0
0,9,168,,,L0_S9_F168,,9.0
0,9,169,,,L0_S9_F169,,9.0
0,9,170,,,,L0_S9_F170,9.0
0,9,171,172.0,L0_S9_D172,L0_S9_F171,,9.0
0,9,173,,,L0_S9_F173,,9.0
0,9,174,,,L0_S9_F174,,9.0
0,9,175,,,,L0_S9_F175,9.0
0,9,176,177.0,L0_S9_D177,L0_S9_F176,,9.0
0,9,178,,,L0_S9_F178,,9.0
0,9,179,,,L0_S9_F179,,9.0
0,9,180,,,,L0_S9_F180,9.0
0,9,181,182.0,L0_S9_D182,L0_S9_F181,,9.0
0,9,183,,,L0_S9_F183,,9.0
0,9,184,,,L0_S9_F184,,9.0
0,9,185,,,,L0_S9_F185,9.0
0,9,186,187.0,L0_S9_D187,L0_S9_F186,,9.0
0,9,188,,,L0_S9_F188,,9.0
0,9,189,,,L0_S9_F189,,9.0
0,9,190,,,,L0_S9_F190,9.0
0,9,191,192.0,L0_S9_D192,L0_S9_F191,,9.0
0,9,193,,,L0_S9_F193,,9.0
0,9,194,,,L0_S9_F194,,9.0
0,9,195,,,,L0_S9_F195,9.0
0,9,196,197.0,L0_S9_D197,L0_S9_F196,,9.0
0,9,198,,,L0_S9_F198,,9.0
0,9,199,,,L0_S9_F199,,9.0
0,9,200,,,,L0_S9_F200,9.0
0,9,201,202.0,L0_S9_D202,L0_S9_F201,,9.0
0,9,203,,,L0_S9_F203,,9.0
0,9,204,,,L0_S9_F204,,9.0
0,9,205,,,,L0_S9_F205,9.0
0,9,206,207.0,L0_S9_D207,L0_S9_F206,,9.0
0,9,208,,,L0_S9_F208,,9.0
0,9,209,,,L0_S9_F209,,9.0
0,9,210,,,,L0_S9_F210,9.0
0,9,211,212.0,L0_S9_D212,L0_S9_F211,,9.0
