line,station,feature_nr,name,nunique,nunique_fault,unique,unique_fault,val_most_common,val_most_common_fault,nunique_diff,same_most_common,prod_passed,prod_passed_rel,prod_passed_fault,prod_passed_fault_rel,ratio_fault,different_most_common
0,1,25,L0_S1_F25,1,1,[ 1.],[ 1.],1.0,1.0,0,1,25,2.11193777049e-05,0,0.0,0.0,0
0,1,27,L0_S1_F27,1,1,[ 9.],[ 9.],9.0,9.0,0,1,25,2.11193777049e-05,0,0.0,0.0,0
0,1,29,L0_S1_F29,1,1,[ 1.],[ 1.],1.0,1.0,0,1,27,2.28089279213e-05,0,0.0,0.0,0
0,1,31,L0_S1_F31,3,1,[  9.  24.  48.],[ 9.],9.0,9.0,2,1,27,2.28089279213e-05,0,0.0,0.0,0
0,2,33,L0_S2_F33,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,35,L0_S2_F35,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,37,L0_S2_F37,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,39,L0_S2_F39,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,41,L0_S2_F41,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,43,L0_S2_F43,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,45,L0_S2_F45,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,47,L0_S2_F47,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,49,L0_S2_F49,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,51,L0_S2_F51,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,53,L0_S2_F53,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,55,L0_S2_F55,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,57,L0_S2_F57,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,59,L0_S2_F59,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,61,L0_S2_F61,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,63,L0_S2_F63,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,65,L0_S2_F65,1,1,[ 1.],[ 1.],1.0,1.0,0,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,2,67,L0_S2_F67,6,3,[  32.   48.   96.   64.  128.    4.],[ 32.  48.  96.],32.0,32.0,3,1,263,0.000222175853455,3,0.000436109899695,1.96290412713,0
0,3,69,L0_S3_F69,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,71,L0_S3_F71,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,73,L0_S3_F73,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,75,L0_S3_F75,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,77,L0_S3_F77,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,79,L0_S3_F79,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,81,L0_S3_F81,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,83,L0_S3_F83,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,85,L0_S3_F85,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,87,L0_S3_F87,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,89,L0_S3_F89,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,91,L0_S3_F91,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,93,L0_S3_F93,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,95,L0_S3_F95,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,97,L0_S3_F97,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,99,L0_S3_F99,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,101,L0_S3_F101,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,3,103,L0_S3_F103,0,0,[],[],,,0,0,0,0.0,0,0.0,,1
0,4,105,L0_S4_F105,1,1,[ 1.],[ 1.],1.0,1.0,0,1,123,0.000103907338308,1,0.000145369966565,1.39903464887,0
0,4,107,L0_S4_F107,1,1,[ 1.],[ 1.],1.0,1.0,0,1,73,6.16685828982e-05,0,0.0,0.0,0
0,4,108,L0_S4_F108,2,2,[ 97.  98.],[ 97.  98.],98.0,97.0,0,0,123,0.000103907338308,1,0.000145369966565,1.39903464887,1
0,4,110,L0_S4_F110,1,1,[ 1.],[ 1.],1.0,1.0,0,1,71,5.99790326818e-05,1,0.000145369966565,2.42367974382,0
0,4,112,L0_S4_F112,1,1,[ 1.],[ 1.],1.0,1.0,0,1,28,2.36537030294e-05,0,0.0,0.0,0
0,4,113,L0_S4_F113,1,1,[ 98.],[ 98.],98.0,98.0,0,1,71,5.99790326818e-05,1,0.000145369966565,2.42367974382,0
0,6,119,L0_S6_F119,1,1,[ 1.],[ 1.],1.0,1.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,6,121,L0_S6_F121,1,1,[ 16.],[ 16.],16.0,16.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,6,123,L0_S6_F123,1,1,[ 1.],[ 1.],1.0,1.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,6,125,L0_S6_F125,1,1,[ 16.],[ 16.],16.0,16.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
0,6,126,L0_S6_F126,1,1,[ 1.],[ 1.],1.0,1.0,0,1,7,5.91342575736e-06,0,0.0,0.0,0
