id,u_str
0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100101011011
2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110010011011
3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011010011
4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011010101
5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011011011
6,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110011011101
7,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101010011
8,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101010101
9,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101011011
10,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101011101
11,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110111011011
12,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110111011101
13,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111101011101
14,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000
15,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000
16,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000
17,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000000
18,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001010100000000000000
19,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001101100000000000000
20,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001110100000000000000
21,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000
22,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001100100000000000000
23,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001101100000000000000
24,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001110100000000000000
25,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000
26,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000001000000000000000
27,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000001100000000000000
28,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000010100000000000000
29,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000101100000000000000
