batch_number,Sample_count,Defect_count,Error_rate
0,1027728,5681.0,0.00552772718073
327,203,0.0,0.0
523,157,0.0,0.0
751,184,3.0,0.0163043478261
826,222,0.0,0.0
841,178,1.0,0.00561797752809
843,164,1.0,0.00609756097561
847,154,4.0,0.025974025974
863,180,0.0,0.0
869,199,3.0,0.0150753768844
891,215,2.0,0.0093023255814
898,158,1.0,0.00632911392405
906,184,4.0,0.0217391304348
909,167,4.0,0.0239520958084
911,177,0.0,0.0
915,223,2.0,0.00896860986547
916,164,1.0,0.00609756097561
917,194,2.0,0.0103092783505
922,170,0.0,0.0
923,197,1.0,0.00507614213198
924,159,1.0,0.0062893081761
925,210,0.0,0.0
926,186,1.0,0.00537634408602
927,200,2.0,0.01
929,165,0.0,0.0
930,151,1.0,0.00662251655629
965,154,3.0,0.0194805194805
966,176,2.0,0.0113636363636
968,159,2.0,0.0125786163522
969,191,0.0,0.0
976,171,2.0,0.0116959064327
1030,235,1.0,0.00425531914894
1212,167,1.0,0.0059880239521
1265,141,0.0,0.0
1423,245,0.0,0.0
1462,210,3.0,0.0142857142857
1486,202,5.0,0.0247524752475
1487,161,3.0,0.0186335403727
1491,218,2.0,0.00917431192661
1492,156,0.0,0.0
1493,198,0.0,0.0
1494,174,1.0,0.00574712643678
1497,189,2.0,0.010582010582
1505,197,2.0,0.010152284264
1506,166,2.0,0.0120481927711
1507,173,3.0,0.0173410404624
1509,218,0.0,0.0
1510,164,1.0,0.00609756097561
1511,186,2.0,0.010752688172
1512,152,0.0,0.0
1515,190,2.0,0.0105263157895
1516,173,2.0,0.0115606936416
1517,210,3.0,0.0142857142857
1520,178,1.0,0.00561797752809
1521,168,1.0,0.00595238095238
1523,216,0.0,0.0
1525,199,1.0,0.00502512562814
1526,161,3.0,0.0186335403727
1527,176,0.0,0.0
1528,188,4.0,0.0212765957447
1532,162,1.0,0.00617283950617
1533,215,0.0,0.0
1535,202,1.0,0.0049504950495
1540,162,2.0,0.0123456790123
1543,193,1.0,0.00518134715026
1544,175,1.0,0.00571428571429
1545,187,7.0,0.0374331550802
1546,164,1.0,0.00609756097561
1547,178,1.0,0.00561797752809
1548,173,2.0,0.0115606936416
1549,207,3.0,0.0144927536232
1552,137,0.0,0.0
1553,190,0.0,0.0
1558,210,5.0,0.0238095238095
1560,215,2.0,0.0093023255814
1561,182,1.0,0.00549450549451
1562,152,0.0,0.0
1566,165,1.0,0.00606060606061
1570,212,1.0,0.00471698113208
1573,194,3.0,0.0154639175258
1574,149,0.0,0.0
1575,181,0.0,0.0
1576,164,1.0,0.00609756097561
1582,164,1.0,0.00609756097561
1588,196,16.0,0.0816326530612
1592,190,2.0,0.0105263157895
1598,218,3.0,0.0137614678899
1599,168,0.0,0.0
1600,181,0.0,0.0
1601,163,2.0,0.0122699386503
1603,157,1.0,0.00636942675159
1604,218,1.0,0.0045871559633
1606,151,1.0,0.00662251655629
1608,237,1.0,0.0042194092827
1610,201,5.0,0.0248756218905
1611,180,5.0,0.0277777777778
1646,154,2.0,0.012987012987
1647,204,0.0,0.0
1648,158,5.0,0.0316455696203
1649,197,7.0,0.0355329949239
1650,163,5.0,0.0306748466258
1651,228,1.0,0.00438596491228
1657,190,5.0,0.0263157894737
1664,156,0.0,0.0
1668,167,0.0,0.0
1669,216,1.0,0.00462962962963
1672,164,2.0,0.0121951219512
1673,214,2.0,0.00934579439252
1675,190,2.0,0.0105263157895
1676,192,0.0,0.0
1677,179,0.0,0.0
1680,177,0.0,0.0
1681,211,1.0,0.00473933649289
1691,159,1.0,0.0062893081761
1697,175,1.0,0.00571428571429
1770,207,9.0,0.0434782608696
1788,239,1.0,0.00418410041841
1797,147,2.0,0.0136054421769
1802,206,3.0,0.0145631067961
1803,176,1.0,0.00568181818182
1834,158,0.0,0.0
1835,213,0.0,0.0
1837,190,1.0,0.00526315789474
1838,164,2.0,0.0121951219512
1853,200,0.0,0.0
1854,191,1.0,0.00523560209424
1860,178,1.0,0.00561797752809
1861,178,1.0,0.00561797752809
1863,164,2.0,0.0121951219512
1865,217,2.0,0.00921658986175
1866,166,0.0,0.0
1868,181,4.0,0.0220994475138
1876,193,1.0,0.00518134715026
1880,154,2.0,0.012987012987
1881,157,3.0,0.0191082802548
1882,214,1.0,0.00467289719626
1886,200,2.0,0.01
1894,205,0.0,0.0
1895,175,2.0,0.0114285714286
1897,167,0.0,0.0
1898,185,0.0,0.0
1900,180,0.0,0.0
1904,161,2.0,0.0124223602484
1910,153,3.0,0.0196078431373
1924,166,2.0,0.0120481927711
1931,194,0.0,0.0
1935,180,0.0,0.0
1939,241,3.0,0.0124481327801
1948,181,3.0,0.0165745856354
1950,215,1.0,0.0046511627907
1951,208,4.0,0.0192307692308
1952,232,0.0,0.0
1953,180,0.0,0.0
1957,165,0.0,0.0
1958,206,0.0,0.0
1961,195,0.0,0.0
1962,182,1.0,0.00549450549451
1967,168,1.0,0.00595238095238
1969,221,1.0,0.00452488687783
1970,181,1.0,0.00552486187845
1971,191,2.0,0.0104712041885
1973,174,1.0,0.00574712643678
1975,151,0.0,0.0
1977,206,0.0,0.0
1983,179,2.0,0.0111731843575
1986,170,0.0,0.0
1989,200,0.0,0.0
1990,179,0.0,0.0
1991,194,6.0,0.0309278350515
1992,149,0.0,0.0
1993,214,1.0,0.00467289719626
1994,183,0.0,0.0
1995,151,0.0,0.0
1998,256,1.0,0.00390625
2000,236,2.0,0.00847457627119
2001,148,1.0,0.00675675675676
2003,176,2.0,0.0113636363636
2008,186,0.0,0.0
2015,215,2.0,0.0093023255814
2017,234,0.0,0.0
2018,180,1.0,0.00555555555556
2020,146,1.0,0.00684931506849
2021,202,2.0,0.00990099009901
2027,202,0.0,0.0
2061,175,0.0,0.0
2084,183,7.0,0.0382513661202
2089,164,0.0,0.0
2090,222,2.0,0.00900900900901
2092,178,3.0,0.0168539325843
2093,178,0.0,0.0
2101,171,1.0,0.00584795321637
2102,180,0.0,0.0
2103,208,2.0,0.00961538461538
2104,141,0.0,0.0
2106,168,9.0,0.0535714285714
2107,216,11.0,0.0509259259259
2110,225,22.0,0.0977777777778
2115,158,1.0,0.00632911392405
2117,204,0.0,0.0
2119,192,3.0,0.015625
2123,218,3.0,0.0137614678899
2128,167,3.0,0.0179640718563
2132,217,1.0,0.00460829493088
2136,219,1.0,0.00456621004566
2138,138,5.0,0.036231884058
2139,161,1.0,0.00621118012422
2140,228,0.0,0.0
2147,160,0.0,0.0
2154,165,1.0,0.00606060606061
2163,156,1.0,0.00641025641026
2168,209,0.0,0.0
2171,164,0.0,0.0
2180,158,2.0,0.0126582278481
2181,195,0.0,0.0
2185,179,2.0,0.0111731843575
2194,226,0.0,0.0
2195,195,0.0,0.0
2199,163,0.0,0.0
2207,200,0.0,0.0
2214,173,0.0,0.0
2216,165,4.0,0.0242424242424
2224,201,1.0,0.00497512437811
2225,171,1.0,0.00584795321637
2226,203,0.0,0.0
2230,199,2.0,0.0100502512563
2233,207,1.0,0.0048309178744
2234,178,2.0,0.0112359550562
2235,199,1.0,0.00502512562814
2238,193,0.0,0.0
2239,241,0.0,0.0
2245,216,2.0,0.00925925925926
2252,179,1.0,0.00558659217877
2257,234,2.0,0.00854700854701
2258,156,3.0,0.0192307692308
2262,186,3.0,0.0161290322581
2265,210,2.0,0.00952380952381
2269,156,0.0,0.0
2276,178,2.0,0.0112359550562
2283,189,3.0,0.015873015873
2284,193,0.0,0.0
2298,157,0.0,0.0
2299,225,0.0,0.0
2303,208,2.0,0.00961538461538
2319,259,0.0,0.0
2329,156,1.0,0.00641025641026
2336,184,1.0,0.0054347826087
2340,181,0.0,0.0
2341,217,3.0,0.0138248847926
2347,228,3.0,0.0131578947368
2359,163,1.0,0.00613496932515
2360,185,3.0,0.0162162162162
2362,201,0.0,0.0
2365,157,0.0,0.0
2366,217,1.0,0.00460829493088
2368,188,2.0,0.0106382978723
2369,171,1.0,0.00584795321637
2370,168,0.0,0.0
2372,223,0.0,0.0
2382,161,1.0,0.00621118012422
2389,229,1.0,0.00436681222707
2421,152,3.0,0.0197368421053
2455,172,0.0,0.0
2456,192,0.0,0.0
2462,199,1.0,0.00502512562814
2467,168,1.0,0.00595238095238
2469,165,1.0,0.00606060606061
2476,225,0.0,0.0
2484,199,0.0,0.0
2487,218,1.0,0.0045871559633
2488,153,1.0,0.00653594771242
2489,241,1.0,0.00414937759336
2519,171,3.0,0.0175438596491
2525,218,0.0,0.0
2552,170,0.0,0.0
2553,186,0.0,0.0
2565,158,1.0,0.00632911392405
2567,214,0.0,0.0
2578,179,1.0,0.00558659217877
2622,210,3.0,0.0142857142857
2658,215,1.0,0.0046511627907
2735,153,1.0,0.00653594771242
2739,166,0.0,0.0
2777,167,4.0,0.0239520958084
3090,181,1.0,0.00552486187845
3110,195,2.0,0.0102564102564
3112,205,1.0,0.00487804878049
3115,162,2.0,0.0123456790123
3116,173,13.0,0.0751445086705
3123,164,5.0,0.030487804878
3124,210,0.0,0.0
3128,201,2.0,0.00995024875622
3129,154,0.0,0.0
3133,173,7.0,0.0404624277457
3134,187,3.0,0.0160427807487
3136,226,2.0,0.00884955752212
3138,209,3.0,0.0143540669856
3143,171,4.0,0.0233918128655
3148,182,3.0,0.0164835164835
3155,174,1.0,0.00574712643678
3158,163,1.0,0.00613496932515
3163,215,0.0,0.0
3166,154,2.0,0.012987012987
3167,171,3.0,0.0175438596491
3170,209,0.0,0.0
3173,150,0.0,0.0
3174,175,2.0,0.0114285714286
3175,178,1.0,0.00561797752809
3179,176,3.0,0.0170454545455
3180,229,0.0,0.0
3182,217,5.0,0.0230414746544
3183,169,3.0,0.0177514792899
3196,173,2.0,0.0115606936416
3197,182,7.0,0.0384615384615
3199,176,0.0,0.0
3200,165,1.0,0.00606060606061
3201,194,0.0,0.0
3212,210,4.0,0.0190476190476
3217,182,6.0,0.032967032967
3225,227,2.0,0.00881057268722
3239,232,4.0,0.0172413793103
3240,170,5.0,0.0294117647059
3251,189,2.0,0.010582010582
3260,179,0.0,0.0
3261,198,5.0,0.0252525252525
3265,181,35.0,0.193370165746
3268,214,2.0,0.00934579439252
3271,171,1.0,0.00584795321637
3272,202,2.0,0.00990099009901
3277,179,4.0,0.0223463687151
3278,198,4.0,0.020202020202
3280,183,0.0,0.0
3282,219,0.0,0.0
3284,171,1.0,0.00584795321637
3285,179,1.0,0.00558659217877
3286,174,7.0,0.0402298850575
3294,156,0.0,0.0
3297,154,14.0,0.0909090909091
3298,191,0.0,0.0
3299,213,2.0,0.0093896713615
3300,167,2.0,0.0119760479042
3302,182,2.0,0.010989010989
3306,176,1.0,0.00568181818182
3307,223,12.0,0.0538116591928
3308,159,0.0,0.0
3311,224,0.0,0.0
3326,228,0.0,0.0
3328,200,0.0,0.0
3331,168,7.0,0.0416666666667
3332,210,7.0,0.0333333333333
3343,148,0.0,0.0
3347,231,5.0,0.021645021645
3352,183,6.0,0.0327868852459
3353,206,2.0,0.00970873786408
3354,178,0.0,0.0
3355,187,1.0,0.00534759358289
3358,207,3.0,0.0144927536232
3360,194,9.0,0.0463917525773
3362,219,3.0,0.013698630137
3364,187,0.0,0.0
3368,156,0.0,0.0
3369,219,0.0,0.0
3370,184,1.0,0.0054347826087
3371,227,6.0,0.0264317180617
3377,196,8.0,0.0408163265306
3379,203,1.0,0.00492610837438
3383,193,1.0,0.00518134715026
3389,216,3.0,0.0138888888889
3393,198,3.0,0.0151515151515
