feature,score
DATE_L3kurt,874
sameL0_next,801
S29,769
L3_S33_F3857,649
sameL3_next,649
S33,590
DATE_S32max,589
S24.311,589
DATE_S33max,583
FOR165_Sum,525
Kurtosis,522
L3_S30_F3744,515
CATEGORICAL_Last_____1,505
BAC100_log_lag_L3,487
FOR100_Sum,485
L3_S30_F3754,467
sameL3_prev,459
L3_S30_F3704,454
sameL1_next,452
L0_Max,450
L3_S33_F3859,427
L3_S29_F3351,424
L3_S29_F3373,407
L3_S30_F3759,403
BAC165_log_lag_L3,398
S30,393
FOR165_log_lag_L3,393
BAC60_Sum_S3,389
BAC100_Sum,377
L3_S30_F3749,376
L3_S30_F3809,370
L3_S33_F3865,368
FOR30_Sum_S,360
L3_S36_F3920,352
GF0,352
FOR60_Sum_S3,349
BAC30_Sum_S,342
FOR60_log_lag_S34,340
L0_S1_F24,338
L0_S1_F28,336
S24.308,331
L0_S2_F44,328
GF1,328
S0,322
L3_S30_F3574,320
FOR165_log_lag,310
L3_S30_F3609,310
L3_S30_F3604,309
Response_Minus1,308
DATE_S36max,300
L3_S29_F3321,298
Range,298
BAC165_Sum,296
BAC165_log_lag,295
L3_S29_F3379,295
L3_S29_F3348,294
S1,292
L3_S29_F3345,284
DATE_S34max,283
S3,281
d_rel_d_29.0,276
L3_S30_F3804,275
L3_S29_F3479,273
L0_S6_F132,272
L3_S30_F3554,270
S24.211,268
sameL2_next,263
S11,257
L0_S5_F114,254
L3_S30_F3494,252
L2_Min,251
S24.307,251
S36,249
DATE_S38max,245
L0_S0_F20_Mult_L0_S0_F20,244
BAC100_log_lag,238
L0_S9_F180,230
L0_S0_F20,230
tdelta_devrel,226
L3_S30_F3544,220
sameL0_prev,219
L3_S30_F3769,217
L0_S0_F16,217
L1_S24_F1844,213
FOR100_log_lag_L3,212
L3max_L0min,207
DATE_S37max,207
L3_S30_F3774,207
Response_Minus1_Number1,205
L3_S30_F3534,204
BAC60_log_lag_S34,204
L3_S30_F3819,203
L3_S29_F3427,203
BAC30_log_lag_S33,202
L3_S29_F3382,200
L3_S29_F3333,197
L3_S29_F3354,196
L3_S29_F3327,191
L0_S10_F244,189
L3_S30_F3519,189
S33min_S37min,187
DATE_S35max,183
L3_S29_F3339,183
L0_S6_F122,183
BAC60_log_lag_S33,182
L0_S2_F60,181
L3_S29_F3461,176
d_29.0,176
L0_S0_F18,175
L3_S30_F3624,172
L3_S30_F3639,169
L3_S30_F3799,168
L2_S26_F3069,167
L3_S30_F3589,167
FOR100_LAG0_Missing_Value_Count_ResponseMinus1,166
L3_S35_F3896,166
L3_S30_F3709,165
L0_S11_F322,165
FOR100_LAG_Missing_Value_Count_ResponseMinus1,165
L3_S29_F3376,164
L0max_L3max,163
L0_S11_F310,162
L3_Max,161
L0_S7_F138,160
S33max_S29min,160
L0_S2_F36,159
L3_S29_F3324,159
