feature,score
leak4,1150
CATEGORICAL_Last_____1,645
leak6,641
DATE_L3kurt,617
FOR165_Sum,559
Kurtosis,522
BAC100_log_lag_L3,505
leak3,478
L3_S29_F3351,461
BAC165_Sum,453
FOR100_Sum,427
sameL3,427
L3_S33_D3856,422
sameL3_Number1,422
L3_S30_F3704,422
L3_S30_D3566,418
GF0,411
BAC100_Sum,410
L3_S30_F3754,406
FOR60_Sum_S3,401
FOR165_log_lag,400
FOR165_log_lag_L3,397
leak5,397
BAC60_Sum_S3,397
GF1,394
L1_S24_F1846,394
FOR30_Sum_S,391
BAC30_Sum_S,381
L3_S33_F3857,379
L3_S30_F3744,377
FOR60_log_lag_S34,375
S33_num_interval,365
Id,357
L3_S32_D3852,349
S33_num_min,342
BAC165_log_lag_L3,340
S33_num_mean,338
L1_S24_F1723,328
BAC165_log_lag,327
L1_S24_F1844,320
S29_num_mean,317
L3_S33_F3859,314
S30_num_max,297
L3_S33_F3865,295
S30_num_interval,292
S33_num_max,290
L3_S30_F3759,285
L3_S29_F3373,285
s323334_8,280
L0_Min,279
BAC60_log_lag_S33,270
L3_S30_F3809,267
BAC60_log_lag_S34,258
BAC100_log_lag,254
Response_Minus1,246
S00_num_mean,246
L3_S30_F3749,246
BAC30_log_lag_S33,245
L3_S29_F3354_leak2,240
S30_num_min,234
FOR165_log_lag_L1,233
L3_S36_D3919,233
S30_num_mean,224
FOR165_log_lag_L2,223
L3_S29_F3321,221
L3_S30_F3494,217
L0_S06_F0132,217
L3_S30_F3774,216
L3_S30_F3574,215
overall_time_max,210
L0_S02_F0044,207
FOR100_log_lag_L3,207
S36_num_mean,205
L0_S11_F0322,204
L3_S30_F3554,203
L3_S29_F3345,201
L0max_L3max,199
L0_S09_F0180,198
L3_S36_F3920,198
L0_S05_F0114,197
overall_time_interval,196
S36_num_interval,196
L3_S29_F3354_leak1,195
L3_S29_F3342,195
FOR100_log_lag,194
S00_num_interval,194
L3_S30_F3804,194
var_51,194
BAC30_log_lag_S30,193
L3_Range,190
L3_S29_D3474,190
L3_S29_F3348,188
FOR30_log_lag_S30,187
S29_num_interval,187
L3_S29_F3479,186
L1_S24_F1632,185
L3_S30_F3604,182
L3_S30_F3819,182
L3_S29_F3339,176
L0_S0_F20_Mult_L0_S0_F20,174
L3_S29_F3461,174
L3_S30_F3579,173
L3max_L0min,172
L3_S30_F3544,172
S01_num_min,171
BAC100_log_lag_L2,167
L3_S32_F3850_leak1,166
L3_S34_D3875,166
L3_S35_F3896,166
S01_num_mean,163
L3_S29_F3379,162
L0_S01_F0024,162
L0_S0_F20,158
L3_S30_F3609,157
L3_S35_D3886,157
S00_num_max,156
FOR100_LAG0_Missing_Value_Count_ResponseMinus1,154
FOR60_log_lag_S33,154
FOR165_log_lag_L0,153
BAC165_log_lag_L1,152
FOR165_LAG3_Missing_Value_Count_ResponseMinus1,151
Response_Minus1_Number1,151
S04_num_mean,151
BAC165_log_lag_L2,148
L3_S29_F3427,148
FOR100_log_lag_L2,147
L0_S0_F16,146
S35_num_mean,145
FOR165_LAG0_Missing_Value_Count_ResponseMinus1,145
L1_S24_F1498,145
L3_S30_F3624,145
L3_S30_F3629,142
BAC165_log_lag_L0,140
S24_num_mean,139
L3_S29_F3327,138
L3_S29_F3354,138
L3_S30_F3794,138
S05_num_interval,137
L0_Mean,137
L3_S29_F3333,137
L3_S30_F3534,133
L3_S30_F3519,133
L3_S30_F3589,133
L0_S11_F0310,133
L3_S30_F3769,133
S38_num_min,132
sameL1_Number1,131
sameL0_Number1,131
S35_num_interval,130
L3_S29_F3324,130
L3_S29_F3376,129
L3_S29_F3436,129
BAC100_log_lag_L1,129
L3_S29_F3458,125
L3_S30_F3829,125
BAC60_log_lag_S30,125
L3_S30_F3639,124
S13_num_max,123
S37min_S34min,123
L0_S01_F0028,123
FOR100_log_lag_L1,122
L3_S37_D3942,121
L3_S29_F3336,120
L3_S32_F3850,118
S35_num_min,118
L2_S26_F3106,118
L0_S00_F0000,116
BAC30_log_lag_S34,116
S04_num_interval,116
L0_S10_F0244,116
L3_S38_F3960,116
L3_S30_F3669,114
L3_S29_F3433,114
L3_S29_F3330,114
S00_num_min,113
FOR100_LAG_Missing_Value_Count_ResponseMinus1,113
var_0,113
L3_S29_F3407,112
L3_S30_F3644,111
L0_S2_F60,111
L3_S29_F3382,111
L3_S30_F3709,110
L3_S29_F3315,110
S01_num_max,109
L3_S29_F3357,109
FOR30_log_lag_S33,108
FOR165_LAG1_Missing_Value_Count_ResponseMinus1,107
L3_S32_F3850_leak2,105
S02_num_mean,104
S33min_S30min,104
S01_num_interval,104
CATEGORICAL_out_out_L3_S32_F3854_class2,104
L3_S38_D3953,103
FOR100_LAG3_Missing_Value_Count_ResponseMinus1,103
L3_S30_F3684,102
S09_num_interval,102
S17_num_interval,102
L2_S26_F3069,101
L0_S11_F0326,101
BAC165_LAG3_Missing_Value_Count_ResponseMinus1,101
L0_S21_F0497,100
BAC100_LAG1_Missing_Value_Count_ResponseMinus1,100
L0_S00_F0018,100
L1_S24_F1788,100
S02_num_interval,100
L2_S27_F3199,99
L3_S29_F3318,99
FOR165_LAG_Missing_Value_Count_ResponseMinus1,98
S11_num_min,97
BAC100_LAG2_Missing_Value_Count_ResponseMinus1,96
BAC165_LAG2_Missing_Value_Count_ResponseMinus1,96
L3max_S34min,95
BAC165_LAG_Missing_Value_Count_ResponseMinus1,95
L3_S30_F3524,95
DATE_L1kurt,94
L3_Unique_Count,94
S13_num_mean,94
BAC100_log_lag_L0,93
L0_S06_D0120,92
S29min_S37min,92
S33min_S37min,91
L3_S30_F3689,91
S07_num_mean,91
S09_num_mean,88
L3_S30_F3664,88
L1_S24_F1758,87
L3_S30_F3784,87
L1_S25_F2126,87
FOR60_log_lag_S30,87
S35_num_max,87
L3_S30_F3509,87
S12_num_min,87
L3max_S30max,86
L3_S30_F3514,86
BAC100_LAG0_Missing_Value_Count_ResponseMinus1,85
L3_S30_F3799,85
S29_num_min,85
S33max_S29min,85
S36_num_min,84
L0_S04_F0104,83
BAC165_LAG0_Missing_Value_Count_ResponseMinus1,83
L0_S02_F0036,83
FOR100_LAG2_Missing_Value_Count_ResponseMinus1,82
FOR100_log_lag_L0,82
S02_num_max,82
S13min_S33min,82
L0_S06_F0122,81
L0_S2_F48,81
S06_num_mean,80
L0_S03_F0096,80
L0_S00_F0002,80
S09_num_max,80
S03_num_interval,80
L0_S10_F0259,80
BAC100_LAG3_Missing_Value_Count_ResponseMinus1,80
BAC100_LAG3_log_lag,79
S02_num_min,79
overall_time_min,79
L0_S03_F0100,78
L1_S24_F1518_leak1,78
L0_S11_F0306,77
FOR165_LAG2_Missing_Value_Count_ResponseMinus1,77
FOR30_log_lag_S34,76
L0_S1_F28,76
Unique_Count,76
S05_num_min,75
L1_S24_F1494,75
L2_S26_F3040,75
L0_Max,75
S36_num_max,75
L0_S05_F0116,75
S29_num_max,75
L0_S07_F0138,74
L2_S26_F3121,74
L0_S03_D0070,74
L3_S29_F3476,74
BAC165_LAG3_log_lag,74
S36max_S29min,74
L0_S13_F0354,73
S11_num_mean,73
L3_S30_F3504,73
L3_S29_F3473,72
FOR100_LAG1_Missing_Value_Count_ResponseMinus1,72
L3_S29_F3430,72
L1_S24_F1695,72
S03_num_min,72
BAC100_LAG_Missing_Value_Count_ResponseMinus1,72
S13_num_min,72
CATEGORICAL_Unique_Count,70
L1_S24_F1662,70
L3_S30_F3584,70
L3_S30_F3764,69
L2_S26_F3113,69
L0_S00_F0008,69
L3_S30_F3569,69
L3_S30_F3679,69
S05_num_max,68
S11_num_interval,66
S05_num_mean,66
L0_S2_F44,64
L1_S24_F1575_leak2,64
S11_num_max,63
L1_S24_F1842,63
sameL2_Number1,63
FOR165_LAG_log_lag,63
S04_num_max,62
DATE_S2_max,61
L3_S30_F3674,61
L1_S24_F1723_leak1,60
L1_S24_F1667,60
S19_num_interval,60
L0_S13_F0356,60
S26_num_min,60
S03_num_max,60
S33_max,60
FOR165_LAG3_log_lag,60
BAC165_LAG1_Missing_Value_Count_ResponseMinus1,59
L2_S26_F3062,59
S24_num_min,59
Range,59
S30min_S37min,58
BAC165_LAG_log_lag,58
L0_S03_F0072,58
S26_num_mean,58
L0_S00_F0010,58
S03_num_mean,57
L1_S24_F1578,56
S10_num_mean,56
L0_S09_F0185,56
L1_S24_F1581,56
L0_S07_F0142,55
L0_S23_F0655,55
L0_S10_F0249,55
S09_num_min,55
S26_num_interval,55
L1_S24_F1743,55
DATE_S36max,54
L0_S10_F0219,54
L0_S05_D0115,54
S06_num_interval,54
L1_S24_F1102,54
L3_S30_F3564,54
L2_S27_F3166,53
L1_S24_F1565_leak1,53
L1_S24_D1558,53
S33min_S35min,53
L1_S24_F1575,52
L0_S17_F0433,52
L1_S24_F1803_leak1,52
L0_S00_F0016,52
L0_S22_F0571,51
L0_S0_F12,51
L0_S6_F132,51
L3_S29_F3401,51
S25_num_interval,50
S24_num_max,50
L1_S25_F2161,50
FOR100_LAG3_log_lag,50
L0_S08_D0145,50
L1_S24_F1516,50
L0_S11_F0318,49
L0_S0_F22,49
S32max_S37min,49
L3_S30_F3634,49
S38_num_interval,49
L1_S24_F1604,48
L1_S24_F1647_leak2,48
L0_S11_F0302,48
S07_num_interval,47
FOR165_LAG1_log_lag,47
L2_S26_F3047,47
L0_Range,47
L1_S24_F1672,47
L0_S09_F0155,47
L0_S11_F314_Mult_L0_S0_F20,47
leak2,47
S12_num_mean,46
Mean,46
L2_S26_D3037,46
L0_S0_F6,46
L0_S02_F0064,46
L0_S11_F0282,46
leak1,46
L3_S36_F3924,46
L1_S24_F1571,45
L0_S21_F0482,45
L1_S24_F1514_leak1,45
s323334_5,44
L3_S29_F3354_seqId,44
L1_S24_F1571_leak1,44
L0_S14_F0386,44
L0_S15_D0395,44
L0_S23_F0667,42
L1_S24_F1514,42
S25_num_mean,42
S26_num_max,42
S30min_S35min,42
L1_S24_F1578_leak1,42
L2_S27_F3210,42
L2_S26_F3073,42
L3_S29_D3316,42
S10_num_interval,42
L0_S12_F0348,41
S27_num_interval,41
L0_S12_F0346,41
L0_S09_F0195,41
L1_S24_F1812,41
L1_S24_F1778,41
L0_S10_D0216,40
L1_S24_F1850,40
S23_num_min,40
L3_S29_F3395,40
L0_S11_D0280,40
L3_Min,40
L1_S24_F1831,40
L0_S1_F24,40
L3_L3_Unique_Count,39
L0_S04_D0106,39
S07_num_max,39
FOR100_LAG2_log_lag,39
S10_num_min,39
L0_S11_F0286,38
L0_S09_D0152,38
L3_Max,38
L1_S24_F1604_leak1,38
FOR165_LAG3_Count_Mult_ResponseMinus1,38
BAC100_LAG2_log_lag,38
S06_num_min,38
L0_S01_D0026,37
S04_num_min,37
S10_num_max,37
L2_S27_F3129,37
FOR165_LAG2_Count_Mult_ResponseMinus1,37
sameL0,37
S12_num_max,37
CATEGORICAL_Missing_Value_Count,37
L0_S23_F0639,37
S19_num_max,36
L3_S30_F3499,36
L0_S03_F0080,36
L0_S14_F0370,36
L1_S25_F2116,36
S25_num_max,36
L0_S00_F0014,35
L0_S22_D0543,35
L1_S24_F1831_leak2,35
L1_S24_F1763,35
L3_S30_D3496,35
L1_S25_F2144,35
L0_S10_F0254,35
S18_num_mean,34
FOR165_LAG2_log_lag,34
L0_S04_F0109,34
L3_S35_D3900,34
