feature,score
start_time,4534
end_time,3777
Euc_dist_NF,2813
tot_time,2339
sta_33m3,2319
Man_dist_NF,1817
mean_num_value,1753
sta_32m3,1723
magic6,1689
magic4,1664
magic5,1656
lag200rate,1600
magic3,1544
sta_30m3,1494
sta_34m3,1339
sta_29m3,1270
sta_36m3,1179
sta_35m3,1061
min_num_feat,1051
sta_37m3,1049
cluster_n100,1036
max_num_value,1024
min_num_value,1010
lead200rate,1009
lag200cnt,958
station_count,951
sta_34m4,940
sta_38m4,910
lead200cnt,865
lag150rate,858
sta_30m4,815
sta_33m4,808
cluster_n50,804
lag100rate,797
max_num_feat,776
lag50rate,770
sta_36m4,766
lag150cnt,735
lead50cnt,725
sta_29m4,721
sta_37m4,714
lead50rate,701
lead150cnt,688
sta_32m4,683
sub_sta_count,652
lead150rate,644
sta_6m3,640
lead100rate,638
sta_8m3,624
sta_26m3,599
lead100cnt,593
lag50cnt,558
sta_5m4,555
sta_2m3,521
sta_1m3,519
lag100cnt,517
lag10rate,514
sta_5m3,511
lag5rate,497
lead10cnt,495
sta_35m4,493
sta_8m4,489
sta_7m3,476
sta_10m3,454
sta_2m4,447
sta_9m3,442
sta_11m3,439
sta_3m3,437
magic1,434
sta_4m3,428
magic2,417
lag10cnt,405
sta_10m4,401
sta_0m3,397
lead10rate,396
sta_26m4,388
sta_17m3,385
sta_27m3,385
sta_7m4,376
sta_3m4,358
lag5cnt,341
sta_24m4,338
sta_15m3,326
sta_0m4,319
sta_1m4,318
dup,307
lead5cnt,292
sta_24m3,284
sta_11m4,280
lead5rate,280
sta_4m4,272
sta_9m4,268
sta_38m3,268
sta_25m3,265
sta_6m4,250
sta_27m4,237
sta_16m4,209
sta_13m4,207
sta_12m3,205
sta_23m3,200
sta_13m3,199
sta_19m3,197
sta_14m3,191
sta_19m4,190
sta_21m3,173
sta_12m4,169
sta_20m4,168
sta_18m3,165
sta_20m3,163
sta_22m3,158
sta_18m4,157
sta_23m4,149
sta_28m4,145
sta_21m4,134
sta_49m4,129
sta_16m3,128
cluster_n8,126
sta_25m4,126
sta_17m4,120
sta_14m4,108
sta_51m4,107
sta_31m4,101
sta_43m3,100
sta_45m4,99
sta_39m3,91
sta_41m4,88
lag5sum,88
lag200sum,88
sta_15m4,87
sta_22m4,86
lag50sum,82
lead100sum,70
lead200sum,61
sta_28m3,59
sta_31m3,58
lead50sum,56
sta_49m3,56
lag100sum,56
sta_40m3,50
lead5sum,47
lead150sum,46
sta_48m3,46
sta_39m4,43
lag10sum,40
sta_45m3,36
sta_47m4,35
sta_40m4,34
lead10sum,34
sta_50m3,33
sta_41m3,30
sta_44m3,30
lag150sum,30
sta_47m3,29
sta_48m4,26
sta_51m3,25
sta_50m4,23
sta_44m4,21
sta_43m4,18
