feature,score
xgb_mike,2514
xgb_jay_joost_v1,1645
xgb_jay,1081
gbm_joost_jay,1016
rf_jay_joost_v2,977
xgb_jay_joost_v2,889
gbm_jay_joost_v2,867
gbm_jay,850
rf_jay,709
xgb_song,684
song_v1,669
gbm_song,640
start_time,638
tot_time,534
Euc_dist_NF,501
mean_num_value,495
end_time,491
sta_30m3,453
max_num_feat,424
cluster_n100,423
sta_34m3,405
max_num_value,405
sta_33m3,384
magic6,379
Man_dist_NF,368
sta_36m3,362
min_num_feat,347
magic5,345
sta_33m4,333
magic2,326
sta_29m3,306
min_num_value,283
cluster_n50,261
sta_37m3,259
sta_36m4,258
sta_29m4,244
sta_11m3,236
sta_30m4,229
sta_35m3,220
sta_6m3,219
sta_34m4,213
sta_8m3,182
dup,180
sta_10m3,175
sta_6m4,173
sta_0m4,170
sta_1m3,163
sta_7m3,160
magic1,157
sta_5m4,154
sta_10m4,148
sta_1m4,147
sta_7m4,147
sta_8m4,146
sta_0m3,140
sta_35m4,129
sta_4m3,128
sta_25m3,122
sta_5m3,121
sta_37m4,118
sta_2m3,114
sta_9m3,108
sta_2m4,107
sta_3m3,106
sta_27m4,98
sta_9m4,96
sta_32m3,95
station_count,94
sta_26m3,91
sta_38m3,88
sta_38m4,88
sta_15m3,82
sta_11m4,82
cluster_n8,81
sta_24m4,72
sta_26m4,64
sta_22m4,64
sta_23m3,60
sta_14m3,59
sub_sta_count,59
sta_21m4,59
sta_20m4,58
sta_25m4,52
sta_24m3,52
sta_41m4,52
sta_21m3,51
sta_4m4,50
sta_3m4,48
sta_18m4,47
sta_12m3,44
sta_17m3,41
sta_12m4,41
sta_20m3,37
sta_27m3,34
sta_49m4,34
sta_28m4,32
sta_16m4,30
sta_17m4,30
sta_23m4,29
sta_43m3,26
sta_18m3,26
sta_22m3,25
sta_14m4,24
sta_39m3,22
sta_13m4,18
sta_19m4,18
sta_16m3,17
sta_40m4,15
sta_32m4,14
sta_19m3,14
sta_13m3,14
sta_15m4,12
sta_47m3,9
sta_39m4,9
sta_51m4,9
sta_40m3,8
sta_49m3,8
sta_48m4,7
sta_51m3,7
sta_31m4,6
sta_45m4,6
sta_48m3,5
sta_41m3,5
sta_44m4,4
sta_28m3,4
sta_31m3,4
sta_45m3,4
sta_50m3,3
sta_50m4,2
sta_43m4,2
sta_47m4,2
sta_44m3,2
