feature,score
xgb_mike,1579
V1,1242
xgb_jay_joost_v1,844
rf_jay_joost_v2,610
gbm_jay,525
xgb_jay,512
gbm_joost_jay,504
xgb_jay_joost_v2,492
song_v1,394
gbm_jay_joost_v2,368
cnt,359
Euc_dist_NF,354
rf_jay,338
end_time,281
start_time,279
gbm_song,261
max_num_feat,255
xgb_song,252
sta_36m3,235
tot_time,232
path,231
sta_30m3,230
sta_34m3,204
mean_num_value,199
sta_33m3,196
max_num_value,180
Man_dist_NF,170
cluster_n100,170
magic6,165
magic5,157
magic2,156
sta_33m4,152
sta_36m4,152
min_num_feat,151
sta_35m3,141
sta_29m3,140
min_num_value,133
sta_11m3,128
sta_7m3,124
sta_34m4,124
sta_37m3,112
sta_8m4,109
sta_8m3,106
sta_6m4,99
sta_1m3,94
sta_1m4,89
sta_25m3,88
sta_4m3,88
sta_30m4,87
sta_0m4,86
sta_29m4,82
sta_10m3,79
cluster_n50,79
sta_10m4,77
sta_27m4,77
sta_32m3,74
sta_5m4,73
sta_3m3,73
magic1,72
sta_9m3,70
sta_35m4,66
sta_5m3,64
sta_7m4,64
sta_6m3,63
sta_38m4,51
sta_2m4,50
sta_9m4,49
sta_37m4,48
sta_26m3,47
sta_20m4,45
sta_25m4,44
sta_0m3,41
sta_38m3,41
sta_24m3,37
sta_11m4,32
sta_26m4,32
sta_41m4,31
sta_21m3,31
sta_2m3,28
sta_22m4,27
sta_14m3,27
sta_4m4,26
sub_sta_count,24
sta_24m4,24
sta_43m3,23
station_count,21
sta_19m3,20
sta_17m3,20
sta_16m4,20
sta_23m3,18
sta_12m4,18
sta_3m4,16
sta_14m4,16
cluster_n8,15
sta_27m3,15
sta_12m3,14
sta_32m4,12
sta_39m3,12
sta_22m3,12
sta_13m3,12
sta_13m4,12
sta_15m3,12
sta_18m4,12
sta_49m4,10
sta_19m4,10
sta_40m4,10
sta_21m4,8
sta_15m4,8
sta_18m3,8
sta_28m4,7
sta_16m3,7
sta_17m4,7
sta_20m3,6
sta_41m3,6
sta_50m3,5
sta_23m4,5
sta_47m3,4
sta_39m4,3
sta_50m4,3
sta_44m4,3
sta_49m3,2
sta_40m3,2
sta_51m3,2
sta_45m4,1
sta_51m4,1
